"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,2120.160000,0.000000,0.000000,-0.000000,1.690427,0.917827
1 Jan 2018 00:02:00.000,2112.319909,202.601623,110.002983,-0.130442,1.684195,0.914431
1 Jan 2018 00:04:00.000,2088.960532,403.719029,219.198233,-0.258224,1.665786,0.904417
1 Jan 2018 00:06:00.000,2050.550843,601.935742,326.816199,-0.380902,1.636030,0.888240
1 Jan 2018 00:08:00.000,1997.831164,795.963009,432.156950,-0.496421,1.596204,0.866595
1 Jan 2018 00:10:00.000,1931.759178,984.684465,534.614307,-0.603225,1.547879,0.840335
1 Jan 2018 00:12:00.000,1853.446998,1167.182652,633.690172,-0.700299,1.492773,0.810394
1 Jan 2018 00:14:00.000,1764.097438,1342.747591,728.999174,-0.787138,1.432605,0.777707
1 Jan 2018 00:16:00.000,1664.946162,1510.870160,820.265062,-0.863683,1.368989,0.743148
1 Jan 2018 00:18:00.000,1557.213819,1671.224471,907.311097,-0.930228,1.303355,0.707496
1 Jan 2018 00:20:00.000,1442.069876,1823.643577,990.046838,-0.987317,1.236918,0.671409
1 Jan 2018 00:22:00.000,1320.608018,1968.092412,1068.453437,-1.035653,1.170663,0.635422
1 Jan 2018 00:24:00.000,1193.831715,2104.640959,1142.569063,-1.076026,1.105358,0.599953
1 Jan 2018 00:26:00.000,1062.647853,2233.439619,1212.475531,-1.109248,1.041580,0.565314
1 Jan 2018 00:28:00.000,927.866291,2354.697787,1278.286666,-1.136117,0.979740,0.531728
1 Jan 2018 00:30:00.000,790.203420,2468.665941,1340.138582,-1.157391,0.920116,0.499347
1 Jan 2018 00:32:00.000,650.288219,2575.621156,1398.181819,-1.173767,0.862878,0.468262
1 Jan 2018 00:34:00.000,508.669669,2675.855713,1452.575159,-1.185880,0.808114,0.438520
1 Jan 2018 00:36:00.000,365.824685,2769.668368,1503.480894,-1.194297,0.755846,0.410135
1 Jan 2018 00:38:00.000,222.166041,2857.357839,1551.061282,-1.199520,0.706054,0.383094
1 Jan 2018 00:40:00.000,78.049927,2939.218069,1595.475983,-1.201990,0.658681,0.357367
1 Jan 2018 00:42:00.000,-66.217047,3015.534898,1636.880249,-1.202094,0.613649,0.332912
1 Jan 2018 00:44:00.000,-210.371499,3086.583827,1675.423714,-1.200167,0.570866,0.309678
1 Jan 2018 00:46:00.000,-354.187597,3152.628613,1711.249628,-1.196500,0.530229,0.287610
1 Jan 2018 00:48:00.000,-497.472047,3213.920477,1744.494430,-1.191345,0.491633,0.266650
1 Jan 2018 00:50:00.000,-640.059690,3270.697779,1775.287570,-1.184920,0.454969,0.246739
1 Jan 2018 00:52:00.000,-781.809670,3323.186017,1803.751511,-1.177413,0.420131,0.227820
1 Jan 2018 00:54:00.000,-922.602108,3371.598059,1830.001854,-1.168986,0.387015,0.209837
1 Jan 2018 00:56:00.000,-1062.335224,3416.134540,1854.147555,-1.159780,0.355522,0.192734
1 Jan 2018 00:58:00.000,-1200.922846,3456.984358,1876.291194,-1.149913,0.325555,0.176461
1 Jan 2018 01:00:00.000,-1338.292276,3494.325230,1896.529277,-1.139492,0.297025,0.160967
1 Jan 2018 01:02:00.000,-1474.382433,3528.324292,1914.952563,-1.128606,0.269845,0.146206
1 Jan 2018 01:04:00.000,-1609.142268,3559.138701,1931.646393,-1.117332,0.243934,0.132135
1 Jan 2018 01:06:00.000,-1742.529394,3586.916235,1946.691010,-1.105738,0.219218,0.118713
1 Jan 2018 01:08:00.000,-1874.508900,3611.795883,1960.161886,-1.093881,0.195625,0.105900
1 Jan 2018 01:10:00.000,-2005.052338,3633.908408,1972.130026,-1.081811,0.173088,0.093662
1 Jan 2018 01:12:00.000,-2134.136840,3653.376891,1982.662262,-1.069572,0.151547,0.081963
1 Jan 2018 01:14:00.000,-2261.744362,3670.317234,1991.821526,-1.057201,0.130943,0.070774
1 Jan 2018 01:16:00.000,-2387.861026,3684.838651,1999.667122,-1.044729,0.111223,0.060064
1 Jan 2018 01:18:00.000,-2512.476556,3697.044113,2006.254959,-1.032186,0.092336,0.049807
1 Jan 2018 01:20:00.000,-2635.583781,3707.030773,2011.637789,-1.019595,0.074236,0.039976
1 Jan 2018 01:22:00.000,-2757.178215,3714.890357,2015.865419,-1.006976,0.056878,0.030549
1 Jan 2018 01:24:00.000,-2877.257683,3720.709533,2018.984906,-0.994348,0.040222,0.021504
1 Jan 2018 01:26:00.000,-2995.822004,3724.570249,2021.040747,-0.981726,0.024231,0.012819
1 Jan 2018 01:28:00.000,-3112.872707,3726.550050,2022.075045,-0.969123,0.008868,0.004475
1 Jan 2018 01:30:00.000,-3228.412793,3726.722368,2022.127674,-0.956551,-0.005899,-0.003545
1 Jan 2018 01:32:00.000,-3342.446520,3725.156799,2021.236421,-0.944019,-0.020102,-0.011259
1 Jan 2018 01:34:00.000,-3454.979222,3721.919349,2019.437126,-0.931535,-0.033769,-0.018682
1 Jan 2018 01:36:00.000,-3566.017144,3717.072667,2016.763807,-0.919107,-0.046927,-0.025829
1 Jan 2018 01:38:00.000,-3675.567306,3710.676268,2013.248780,-0.906740,-0.059601,-0.032713
1 Jan 2018 01:40:00.000,-3783.637379,3702.786723,2008.922761,-0.894439,-0.071816,-0.039347
1 Jan 2018 01:42:00.000,-3890.235575,3693.457855,2003.814976,-0.882209,-0.083594,-0.045744
1 Jan 2018 01:44:00.000,-3995.370559,3682.740901,1997.953248,-0.870053,-0.094954,-0.051915
1 Jan 2018 01:46:00.000,-4099.051364,3670.684681,1991.364084,-0.857973,-0.105918,-0.057870
1 Jan 2018 01:48:00.000,-4201.287320,3657.335738,1984.072758,-0.845973,-0.116503,-0.063619
1 Jan 2018 01:50:00.000,-4302.087990,3642.738484,1976.103387,-0.834052,-0.126726,-0.069172
1 Jan 2018 01:52:00.000,-4401.463118,3626.935321,1967.478996,-0.822214,-0.136604,-0.074537
1 Jan 2018 01:54:00.000,-4499.422583,3609.966763,1958.221585,-0.810458,-0.146152,-0.079724
1 Jan 2018 01:56:00.000,-4595.976351,3591.871546,1948.352190,-0.798785,-0.155384,-0.084738
