"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,2120.160000,0.000000,0.000000,-0.000000,1.690426,0.917827
1 Jan 2018 00:02:00.000,2112.319543,202.611229,110.010679,-0.130442,1.684189,0.914440
1 Jan 2018 00:04:00.000,2088.958855,403.737100,219.214834,-0.258224,1.665768,0.904438
1 Jan 2018 00:06:00.000,2050.546990,601.960483,326.842992,-0.380900,1.635997,0.888273
1 Jan 2018 00:08:00.000,1997.824685,795.992221,432.195160,-0.496413,1.596153,0.866639
1 Jan 2018 00:10:00.000,1931.750242,984.715876,534.665131,-0.603207,1.547812,0.840391
1 Jan 2018 00:12:00.000,1853.436330,1167.214247,633.754877,-0.700267,1.492694,0.810463
1 Jan 2018 00:14:00.000,1764.086080,1342.777822,729.079143,-0.787091,1.432519,0.777790
1 Jan 2018 00:16:00.000,1664.935151,1510.897985,820.361751,-0.863624,1.368898,0.743245
1 Jan 2018 00:18:00.000,1557.203938,1671.249199,907.425935,-0.930159,1.303264,0.707607
1 Jan 2018 00:20:00.000,1442.061586,1823.664658,990.181114,-0.987241,1.236826,0.671533
1 Jan 2018 00:22:00.000,1320.601546,1968.109287,1068.608237,-1.035572,1.170569,0.635558
1 Jan 2018 00:24:00.000,1193.827166,2104.653021,1142.745269,-1.075941,1.105262,0.600098
1 Jan 2018 00:26:00.000,1062.645295,2233.446233,1212.673852,-1.109160,1.041482,0.565466
1 Jan 2018 00:28:00.000,927.865780,2354.698313,1278.507674,-1.136027,0.979640,0.531888
1 Jan 2018 00:30:00.000,790.205003,2468.659756,1340.382743,-1.157298,0.920014,0.499513
1 Jan 2018 00:32:00.000,650.291931,2575.607664,1398.449515,-1.173672,0.862775,0.468433
1 Jan 2018 00:34:00.000,508.675518,2675.834344,1452.866700,-1.185784,0.808009,0.438696
1 Jan 2018 00:36:00.000,365.832645,2769.638575,1503.796527,-1.194199,0.755740,0.410315
1 Jan 2018 00:38:00.000,222.176043,2857.319090,1551.401196,-1.199422,0.705946,0.383278
1 Jan 2018 00:40:00.000,78.061859,2939.169838,1595.840313,-1.201892,0.658571,0.357555
1 Jan 2018 00:42:00.000,-66.203339,3015.476657,1637.269081,-1.201997,0.613538,0.333103
1 Jan 2018 00:44:00.000,-210.356211,3086.515041,1675.837083,-1.200071,0.570753,0.309872
1 Jan 2018 00:46:00.000,-354.170964,3152.548731,1711.687525,-1.196405,0.530114,0.287806
1 Jan 2018 00:48:00.000,-497.454335,3213.828928,1744.956803,-1.191252,0.491515,0.266847
1 Jan 2018 00:50:00.000,-640.041194,3270.593972,1775.774328,-1.184830,0.454848,0.246938
1 Jan 2018 00:52:00.000,-781.790710,3323.069334,1804.262527,-1.177325,0.420007,0.228020
1 Jan 2018 00:54:00.000,-922.583022,3371.467860,1830.536971,-1.168901,0.386889,0.210037
1 Jan 2018 00:56:00.000,-1062.316362,3415.990159,1854.706585,-1.159697,0.355392,0.192935
1 Jan 2018 00:58:00.000,-1200.904574,3456.825103,1876.873924,-1.149834,0.325421,0.176662
1 Jan 2018 01:00:00.000,-1338.274963,3494.150388,1897.135474,-1.139416,0.296887,0.161168
1 Jan 2018 01:02:00.000,-1474.366457,3528.133127,1915.581973,-1.128533,0.269702,0.146407
1 Jan 2018 01:04:00.000,-1609.128009,3558.930456,1932.298745,-1.117262,0.243787,0.132336
1 Jan 2018 01:06:00.000,-1742.517233,3586.690135,1947.366021,-1.105671,0.219066,0.118913
1 Jan 2018 01:08:00.000,-1874.499218,3611.551136,1960.859262,-1.093818,0.195468,0.106099
1 Jan 2018 01:10:00.000,-2005.045516,3633.644208,1972.849461,-1.081752,0.172927,0.093860
1 Jan 2018 01:12:00.000,-2134.133256,3653.092415,1983.403443,-1.069516,0.151380,0.082161
1 Jan 2018 01:14:00.000,-2261.744392,3670.011652,1992.584137,-1.057148,0.130771,0.070970
1 Jan 2018 01:16:00.000,-2387.865044,3684.511121,2000.450838,-1.044680,0.111045,0.060260
1 Jan 2018 01:18:00.000,-2512.484931,3696.693785,2007.059456,-1.032140,0.092152,0.050001
1 Jan 2018 01:20:00.000,-2635.596880,3706.656789,2012.462740,-1.019552,0.074046,0.040170
1 Jan 2018 01:22:00.000,-2757.196401,3714.491857,2016.710496,-1.006937,0.056683,0.030742
1 Jan 2018 01:24:00.000,-2877.281318,3720.285651,2019.849781,-0.994313,0.040021,0.021695
1 Jan 2018 01:26:00.000,-2995.851443,3724.120117,2021.925092,-0.981694,0.024024,0.013009
1 Jan 2018 01:28:00.000,-3112.908307,3726.072799,2022.978536,-0.969095,0.008655,0.004664
1 Jan 2018 01:30:00.000,-3228.454905,3726.217130,2023.049987,-0.956526,-0.006118,-0.003358
1 Jan 2018 01:32:00.000,-3342.495495,3724.622706,2022.177237,-0.943997,-0.020327,-0.011073
1 Jan 2018 01:34:00.000,-3455.035407,3721.355535,2020.396128,-0.931517,-0.033999,-0.018497
1 Jan 2018 01:36:00.000,-3566.080887,3716.478271,2017.740683,-0.919092,-0.047164,-0.025644
1 Jan 2018 01:38:00.000,-3675.638953,3710.050431,2014.243219,-0.906729,-0.059844,-0.032530
1 Jan 2018 01:40:00.000,-3783.717273,3702.128593,2009.934460,-0.894432,-0.072065,-0.039165
1 Jan 2018 01:42:00.000,-3890.324063,3692.766584,2004.843634,-0.882205,-0.083848,-0.045563
1 Jan 2018 01:44:00.000,-3995.467985,3682.015649,1998.998569,-0.870052,-0.095215,-0.051735
1 Jan 2018 01:46:00.000,-4099.158073,3669.924614,1992.425778,-0.857976,-0.106185,-0.057691
1 Jan 2018 01:48:00.000,-4201.403658,3656.540031,1985.150541,-0.845979,-0.116775,-0.063442
1 Jan 2018 01:50:00.000,-4302.214305,3641.906320,1977.196978,-0.834062,-0.127004,-0.068996
1 Jan 2018 01:52:00.000,-4401.599760,3626.065892,1968.588119,-0.822227,-0.136888,-0.074362
1 Jan 2018 01:54:00.000,-4499.569902,3609.059272,1959.345972,-0.810475,-0.146441,-0.079550
1 Jan 2018 01:56:00.000,-4596.134701,3590.925205,1949.491575,-0.798806,-0.155679,-0.084565
1 Jan 2018 01:58:00.000,-4691.304181,3571.700765,1939.045063,-0.787221,-0.164614,-0.089417
1 Jan 2018 02:00:00.000,-4785.088391,3551.421447,1928.025709,-0.775720,-0.173261,-0.094112
1 Jan 2018 02:02:00.000,-4877.497374,3530.121259,1916.451982,-0.764302,-0.181629,-0.098655
1 Jan 2018 02:04:00.000,-4968.541145,3507.832802,1904.341585,-0.752968,-0.189732,-0.103055
1 Jan 2018 02:06:00.000,-5058.229669,3484.587351,1891.711503,-0.741716,-0.197579,-0.107316
1 Jan 2018 02:08:00.000,-5146.572845,3460.414928,1878.578038,-0.730546,-0.205181,-0.111443
1 Jan 2018 02:10:00.000,-5233.580487,3435.344369,1864.956850,-0.719458,-0.212548,-0.115443
1 Jan 2018 02:12:00.000,-5319.262315,3409.403387,1850.862989,-0.708451,-0.219688,-0.119320
1 Jan 2018 02:14:00.000,-5403.627939,3382.618632,1836.310928,-0.697523,-0.226611,-0.123079
1 Jan 2018 02:16:00.000,-5486.686853,3355.015751,1821.314594,-0.686674,-0.233324,-0.126723
