"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,2118.343063,60.464549,93.107240,-0.062918,1.046729,1.611822
1 Jan 2018 00:02:00.000,2102.997688,185.695653,285.945026,-0.192399,1.039193,1.600196
1 Jan 2018 00:04:00.000,2072.322828,309.577014,476.701583,-0.318000,1.024320,1.577267
1 Jan 2018 00:06:00.000,2026.924397,431.264860,664.077268,-0.437448,1.002767,1.544052
1 Jan 2018 00:08:00.000,1967.655147,550.009273,846.917157,-0.548919,0.975425,1.501922
1 Jan 2018 00:10:00.000,1895.555409,665.176522,1024.245323,-0.651118,0.943325,1.452464
1 Jan 2018 00:12:00.000,1811.788868,776.260068,1195.281722,-0.743281,0.907542,1.397334
1 Jan 2018 00:14:00.000,1717.580913,882.881064,1359.442958,-0.825132,0.869117,1.338136
1 Jan 2018 00:16:00.000,1614.165177,984.780560,1516.330326,-0.896793,0.828999,1.276332
1 Jan 2018 00:18:00.000,1502.741230,1081.806196,1665.709347,-0.958693,0.788011,1.213190
1 Jan 2018 00:20:00.000,1384.444159,1173.896028,1807.484843,-1.011463,0.746837,1.149763
1 Jan 2018 00:22:00.000,1260.325172,1261.061642,1941.674916,-1.055857,0.706021,1.086889
1 Jan 2018 00:24:00.000,1131.341361,1343.372119,2068.386205,-1.092680,0.665978,1.025209
1 Jan 2018 00:26:00.000,998.352437,1420.939700,2187.791801,-1.122742,0.627015,0.965193
1 Jan 2018 00:28:00.000,862.122421,1493.907558,2300.112408,-1.146824,0.589345,0.907170
1 Jan 2018 00:30:00.000,723.324568,1562.439750,2405.600861,-1.165656,0.553105,0.851351
1 Jan 2018 00:32:00.000,582.548198,1626.713188,2504.529769,-1.179905,0.518375,0.797858
1 Jan 2018 00:34:00.000,440.306444,1686.911417,2597.181928,-1.190174,0.485187,0.746742
1 Jan 2018 00:36:00.000,297.044231,1743.219894,2683.843064,-1.196997,0.453543,0.698004
1 Jan 2018 00:38:00.000,153.146067,1795.822519,2764.796485,-1.200847,0.423417,0.651605
1 Jan 2018 00:40:00.000,8.943342,1844.899149,2840.319255,-1.202137,0.394768,0.607481
1 Jan 2018 00:42:00.000,-135.278972,1890.623881,2910.679555,-1.201229,0.367543,0.565549
1 Jan 2018 00:44:00.000,-279.276297,1933.163934,2976.134964,-1.198436,0.341680,0.525716
1 Jan 2018 00:46:00.000,-422.839094,1972.678979,3036.931426,-1.194029,0.317115,0.487883
1 Jan 2018 00:48:00.000,-565.788153,2009.320796,3093.302723,-1.188243,0.293782,0.451946
1 Jan 2018 00:50:00.000,-707.970477,2043.233180,3145.470332,-1.181281,0.271613,0.417804
1 Jan 2018 00:52:00.000,-849.255702,2074.552016,3193.643543,-1.173319,0.250545,0.385357
1 Jan 2018 00:54:00.000,-989.532990,2103.405474,3238.019763,-1.164506,0.230514,0.354505
1 Jan 2018 00:56:00.000,-1128.708353,2129.914294,3278.784946,-1.154973,0.211458,0.325157
1 Jan 2018 00:58:00.000,-1266.702337,2154.192108,3316.114100,-1.144834,0.193321,0.297224
1 Jan 2018 01:00:00.000,-1403.448030,2176.345803,3350.171839,-1.134184,0.176047,0.270620
1 Jan 2018 01:02:00.000,-1538.889342,2196.475890,3381.112961,-1.123107,0.159586,0.245267
1 Jan 2018 01:04:00.000,-1672.979524,2214.676883,3409.083021,-1.111676,0.143888,0.221090
1 Jan 2018 01:06:00.000,-1805.679896,2231.037665,3434.218901,-1.099953,0.128908,0.198020
1 Jan 2018 01:08:00.000,-1936.958748,2245.641843,3456.649361,-1.087992,0.114604,0.175990
1 Jan 2018 01:10:00.000,-2066.790387,2258.568097,3476.495566,-1.075840,0.100936,0.154939
1 Jan 2018 01:12:00.000,-2195.154326,2269.890501,3493.871589,-1.063537,0.087867,0.134811
1 Jan 2018 01:14:00.000,-2322.034570,2279.678830,3508.884886,-1.051117,0.075363,0.115552
1 Jan 2018 01:16:00.000,-2447.419010,2287.998854,3521.636737,-1.038611,0.063390,0.097112
1 Jan 2018 01:18:00.000,-2571.298890,2294.912603,3532.222670,-1.026045,0.051920,0.079445
1 Jan 2018 01:20:00.000,-2693.668350,2300.478624,3540.732844,-1.013441,0.040924,0.062509
1 Jan 2018 01:22:00.000,-2814.524031,2304.752215,3547.252414,-1.000819,0.030375,0.046262
1 Jan 2018 01:24:00.000,-2933.864724,2307.785643,3551.861870,-0.988194,0.020250,0.030668
1 Jan 2018 01:26:00.000,-3051.691075,2309.628347,3554.637345,-0.975582,0.010526,0.015690
1 Jan 2018 01:28:00.000,-3168.005321,2310.327129,3555.650913,-0.962994,0.001182,0.001297
1 Jan 2018 01:30:00.000,-3282.811067,2309.926326,3554.970849,-0.950442,-0.007803,-0.012542
1 Jan 2018 01:32:00.000,-3396.113083,2308.467973,3552.661887,-0.937933,-0.016447,-0.025856
1 Jan 2018 01:34:00.000,-3507.917133,2305.991954,3548.785446,-0.925477,-0.024767,-0.038671
1 Jan 2018 01:36:00.000,-3618.229827,2302.536140,3543.399846,-0.913078,-0.032780,-0.051012
1 Jan 2018 01:38:00.000,-3727.058488,2298.136519,3536.560507,-0.900744,-0.040500,-0.062904
1 Jan 2018 01:40:00.000,-3834.411036,2292.827315,3528.320132,-0.888477,-0.047942,-0.074366
1 Jan 2018 01:42:00.000,-3940.295890,2286.641096,3518.728880,-0.876283,-0.055119,-0.085421
1 Jan 2018 01:44:00.000,-4044.721879,2279.608885,3507.834521,-0.864163,-0.062044,-0.096088
1 Jan 2018 01:46:00.000,-4147.698164,2271.760245,3495.682586,-0.852121,-0.068728,-0.106384
1 Jan 2018 01:48:00.000,-4249.234174,2263.123376,3482.316502,-0.840159,-0.075183,-0.116327
1 Jan 2018 01:50:00.000,-4349.339547,2253.725192,3467.777719,-0.828278,-0.081418,-0.125932
1 Jan 2018 01:52:00.000,-4448.024076,2243.591400,3452.105828,-0.816478,-0.087444,-0.135214
1 Jan 2018 01:54:00.000,-4545.297668,2232.746573,3435.338670,-0.804762,-0.093270,-0.144188
1 Jan 2018 01:56:00.000,-4641.170303,2221.214211,3417.512440,-0.793129,-0.098905,-0.152867
1 Jan 2018 01:58:00.000,-4735.651998,2209.016808,3398.661780,-0.781580,-0.104356,-0.161264
1 Jan 2018 02:00:00.000,-4828.752782,2196.175906,3378.819868,-0.770114,-0.109631,-0.169390
1 Jan 2018 02:02:00.000,-4920.482668,2182.712150,3358.018503,-0.758731,-0.114738,-0.177257
1 Jan 2018 02:04:00.000,-5010.851627,2168.645338,3336.288176,-0.747432,-0.119683,-0.184875
1 Jan 2018 02:06:00.000,-5099.869575,2153.994470,3313.658151,-0.736214,-0.124473,-0.192253
1 Jan 2018 02:08:00.000,-5187.546353,2138.777787,3290.156524,-0.725079,-0.129114,-0.199403
1 Jan 2018 02:10:00.000,-5273.891710,2123.012816,3265.810290,-0.714024,-0.133612,-0.206332
1 Jan 2018 02:12:00.000,-5358.915295,2106.716405,3240.645404,-0.703049,-0.137972,-0.213048
1 Jan 2018 02:14:00.000,-5442.626643,2089.904763,3214.686829,-0.692153,-0.142200,-0.219561
1 Jan 2018 02:16:00.000,-5525.035168,2072.593489,3187.958596,-0.681335,-0.146300,-0.225877
1 Jan 2018 02:18:00.000,-5606.150155,2054.797606,3160.483848,-0.670594,-0.150278,-0.232004
1 Jan 2018 02:20:00.000,-5685.980750,2036.531592,3132.284885,-0.659928,-0.154137,-0.237949
1 Jan 2018 02:22:00.000,-5764.535962,2017.809404,3103.383210,-0.649337,-0.157881,-0.243717
