"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,1840.086419,28.226576,15.325780,-0.026004,1.571120,0.853049
1 Jan 2018 00:00:30.000,1838.655188,75.344560,40.908688,-0.069406,1.569894,0.852376
1 Jan 2018 00:01:00.000,1835.922941,122.409059,66.462328,-0.112723,1.567558,0.851102
1 Jan 2018 00:01:30.000,1831.893049,169.387026,91.968762,-0.155910,1.564123,0.849228
1 Jan 2018 00:02:00.000,1826.570078,216.245550,117.410069,-0.198922,1.559595,0.846759
1 Jan 2018 00:02:30.000,1819.959936,262.951906,142.768409,-0.241714,1.553981,0.843698
1 Jan 2018 00:03:00.000,1812.069954,309.473603,168.026093,-0.284236,1.547287,0.840050
1 Jan 2018 00:03:30.000,1802.908904,355.778473,193.165625,-0.326443,1.539528,0.835823
1 Jan 2018 00:04:00.000,1792.486975,401.834748,218.169757,-0.368288,1.530717,0.831025
1 Jan 2018 00:04:30.000,1780.815728,447.611147,243.021520,-0.409724,1.520873,0.825667
1 Jan 2018 00:05:00.000,1767.908008,493.076971,267.704259,-0.450712,1.510015,0.819759
1 Jan 2018 00:05:30.000,1753.777909,538.202124,292.201647,-0.491210,1.498165,0.813312
1 Jan 2018 00:06:00.000,1738.440701,582.957135,316.497682,-0.531180,1.485343,0.806337
1 Jan 2018 00:06:30.000,1721.912803,627.313210,340.576725,-0.570583,1.471573,0.798848
1 Jan 2018 00:07:00.000,1704.211745,671.242255,364.423527,-0.609384,1.456878,0.790857
1 Jan 2018 00:07:30.000,1685.356133,714.716929,388.023247,-0.647548,1.441285,0.782378
1 Jan 2018 00:08:00.000,1665.365600,757.710671,411.361481,-0.685040,1.424821,0.773427
1 Jan 2018 00:08:30.000,1644.260748,800.197759,434.424281,-0.721830,1.407514,0.764018
1 Jan 2018 00:09:00.000,1622.063096,842.153363,457.198177,-0.757889,1.389394,0.754169
1 Jan 2018 00:09:30.000,1598.794995,883.553556,479.670182,-0.793190,1.370491,0.743895
1 Jan 2018 00:10:00.000,1574.479535,924.375327,501.827809,-0.827709,1.350837,0.733213
1 Jan 2018 00:10:30.000,1549.140512,964.596592,523.659068,-0.861423,1.330463,0.722140
1 Jan 2018 00:11:00.000,1522.802388,1004.196185,545.152470,-0.894312,1.309398,0.710692
1 Jan 2018 00:11:30.000,1495.490229,1043.153888,566.297039,-0.926356,1.287675,0.698888
1 Jan 2018 00:12:00.000,1467.229663,1081.450459,587.082334,-0.957537,1.265328,0.686744
1 Jan 2018 00:12:30.000,1438.046807,1119.067629,607.498443,-0.987840,1.242388,0.674278
1 Jan 2018 00:13:00.000,1407.968200,1155.988116,627.535991,-1.017251,1.218888,0.661509
1 Jan 2018 00:13:30.000,1377.020751,1192.195612,647.186133,-1.045761,1.194860,0.648454
1 Jan 2018 00:14:00.000,1345.231679,1227.674781,666.440551,-1.073358,1.170338,0.635131
1 Jan 2018 00:14:30.000,1312.628470,1262.411254,685.291457,-1.100035,1.145352,0.621556
1 Jan 2018 00:15:00.000,1279.238830,1296.391617,703.731578,-1.125786,1.119936,0.607748
1 Jan 2018 00:15:30.000,1245.090634,1329.603418,721.754163,-1.150605,1.094120,0.593723
1 Jan 2018 00:16:00.000,1210.211880,1362.035159,739.352978,-1.174489,1.067937,0.579499
1 Jan 2018 00:16:30.000,1174.630629,1393.676287,756.522297,-1.197438,1.041418,0.565093
1 Jan 2018 00:17:00.000,1138.374939,1424.517177,773.256906,-1.219452,1.014593,0.550521
1 Jan 2018 00:17:30.000,1101.472824,1454.549107,789.552078,-1.240534,0.987492,0.535800
1 Jan 2018 00:18:00.000,1063.952201,1483.764219,805.403564,-1.260687,0.960143,0.520945
1 Jan 2018 00:18:30.000,1025.840859,1512.155504,820.807575,-1.279916,0.932575,0.505971
1 Jan 2018 00:19:00.000,987.166434,1539.716765,835.760763,-1.298227,0.904813,0.490892
1 Jan 2018 00:19:30.000,947.956372,1566.442605,850.260214,-1.315626,0.876884,0.475724
1 Jan 2018 00:20:00.000,908.237907,1592.328398,864.303432,-1.332122,0.848814,0.460479
1 Jan 2018 00:20:30.000,868.038031,1617.370271,877.888326,-1.347722,0.820627,0.445171
1 Jan 2018 00:21:00.000,827.383467,1641.565073,891.013197,-1.362436,0.792346,0.429813
1 Jan 2018 00:21:30.000,786.300647,1664.910358,903.676728,-1.376274,0.763996,0.414417
1 Jan 2018 00:22:00.000,744.815688,1687.404351,915.877964,-1.389247,0.735597,0.398995
1 Jan 2018 00:22:30.000,702.954372,1709.045930,927.616305,-1.401366,0.707172,0.383559
1 Jan 2018 00:23:00.000,660.742132,1729.834597,938.891486,-1.412644,0.678740,0.368120
1 Jan 2018 00:23:30.000,618.204032,1749.770455,949.703572,-1.423092,0.650321,0.352688
1 Jan 2018 00:24:00.000,575.364752,1768.854180,960.052936,-1.432725,0.621934,0.337273
1 Jan 2018 00:24:30.000,532.248578,1787.087002,969.940252,-1.441554,0.593597,0.321886
1 Jan 2018 00:25:00.000,488.879386,1804.470677,979.366478,-1.449595,0.565327,0.306536
1 Jan 2018 00:25:30.000,445.280635,1821.007462,988.332845,-1.456861,0.537140,0.291230
1 Jan 2018 00:26:00.000,401.475352,1836.700092,996.840843,-1.463366,0.509053,0.275979
1 Jan 2018 00:26:30.000,357.486134,1851.551758,1004.892208,-1.469125,0.481079,0.260790
1 Jan 2018 00:27:00.000,313.335133,1865.566079,1012.488908,-1.474154,0.453232,0.245669
1 Jan 2018 00:27:30.000,269.044057,1878.747082,1019.633131,-1.478466,0.425526,0.230626
1 Jan 2018 00:28:00.000,224.634167,1891.099182,1026.327275,-1.482077,0.397974,0.215665
1 Jan 2018 00:28:30.000,180.126272,1902.627154,1032.573935,-1.485002,0.370586,0.200794
1 Jan 2018 00:29:00.000,135.540728,1913.336118,1038.375890,-1.487256,0.343375,0.186019
1 Jan 2018 00:29:30.000,90.897443,1923.231515,1043.736095,-1.488854,0.316350,0.171345
1 Jan 2018 00:30:00.000,46.215871,1932.319092,1048.657669,-1.489811,0.289522,0.156778
