"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6891.906464,0.000000,0.000000,-0.000000,6.700258,3.637943
31 Dec 2017 00:02:00.000,6831.574527,801.683502,435.278587,-1.004040,6.641607,3.606098
31 Dec 2017 00:04:00.000,6651.650731,1589.333555,862.937634,-1.990243,6.466725,3.511145
31 Dec 2017 00:06:00.000,6355.330406,2349.173304,1275.496918,-2.941114,6.178808,3.354819
31 Dec 2017 00:08:00.000,5947.870561,3067.933600,1665.751882,-3.839840,5.783108,3.139971
31 Dec 2017 00:10:00.000,5436.488877,3733.093370,2026.904138,-4.670608,5.286820,2.870509
31 Dec 2017 00:12:00.000,4830.225810,4333.104244,2352.683432,-5.418899,4.698932,2.551312
31 Dec 2017 00:14:00.000,4139.773167,4857.594989,2637.458645,-6.071750,4.030040,2.188133
31 Dec 2017 00:16:00.000,3377.273204,5297.551865,2876.335717,-6.617984,3.292136,1.787484
31 Dec 2017 00:18:00.000,2556.092905,5645.471700,3065.240757,-7.048393,2.498363,1.356501
31 Dec 2017 00:20:00.000,1690.578459,5895.485264,3200.987034,-7.355886,1.662766,0.902808
31 Dec 2017 00:22:00.000,795.795231,6043.449251,3281.324917,-7.535581,0.800022,0.434376
31 Dec 2017 00:24:00.000,-112.741457,6087.005969,3304.974283,-7.584865,-0.074832,-0.040631
31 Dec 2017 00:26:00.000,-1019.339457,6025.610536,3271.639286,-7.503402,-0.946665,-0.513997
31 Dec 2017 00:28:00.000,-1908.401792,5860.526077,3182.005746,-7.293107,-1.800517,-0.977601
31 Dec 2017 00:30:00.000,-2764.692779,5594.787962,3037.721735,-6.958072,-2.621852,-1.423549
31 Dec 2017 00:32:00.000,-3573.593924,5233.138674,2841.362211,-6.504472,-3.396791,-1.844307
31 Dec 2017 00:34:00.000,-4321.345692,4781.935269,2596.378772,-5.940423,-4.112338,-2.232817
31 Dec 2017 00:36:00.000,-4995.271695,4249.031731,2307.035786,-5.275833,-4.756573,-2.582608
31 Dec 2017 00:38:00.000,-5583.982364,3643.638770,1978.334257,-4.522209,-5.318831,-2.887889
31 Dec 2017 00:40:00.000,-6077.555587,2976.163761,1615.924929,-3.692466,-5.789856,-3.143635
31 Dec 2017 00:42:00.000,-6467.692254,2258.033636,1226.012121,-2.800704,-6.161931,-3.345655
31 Dec 2017 00:44:00.000,-6747.845071,1501.503616,815.249872,-1.861979,-6.428984,-3.490653
31 Dec 2017 00:46:00.000,-6913.319349,719.454655,390.631970,-0.892072,-6.586669,-3.576269
31 Dec 2017 00:48:00.000,-6961.344824,-74.817485,-40.622576,0.092765,-6.632427,-3.601114
31 Dec 2017 00:50:00.000,-6891.117856,-867.818645,-471.187036,1.076050,-6.565515,-3.564783
31 Dec 2017 00:52:00.000,-6703.813653,-1646.075287,-893.745877,2.041325,-6.387018,-3.467868
31 Dec 2017 00:54:00.000,-6402.568392,-2396.353240,-1301.113531,2.972406,-6.099836,-3.311941
31 Dec 2017 00:56:00.000,-5992.431422,-3105.873303,-1686.351458,3.853633,-5.708644,-3.099541
31 Dec 2017 00:58:00.000,-5480.287930,-3762.520814,-2042.881934,4.670108,-5.219830,-2.834136
31 Dec 2017 01:00:00.000,-4874.752812,-4355.046305,-2364.596997,5.407940,-4.641410,-2.520080
31 Dec 2017 01:02:00.000,-4186.036718,-4873.254334,-2645.960975,6.054461,-3.982914,-2.162546
31 Dec 2017 01:04:00.000,-3425.785653,-5308.177600,-2882.105019,6.598450,-3.255257,-1.767460
31 Dec 2017 01:06:00.000,-2606.895838,-5652.233484,-3068.912105,7.030323,-2.470573,-1.341412
31 Dec 2017 01:08:00.000,-1743.305981,-5899.360217,-3203.090961,7.342316,-1.642044,-0.891557
31 Dec 2017 01:10:00.000,-849.769537,-6045.129987,-3282.237482,7.528639,-0.783686,-0.425506
31 Dec 2017 01:12:00.000,58.389989,-6086.836498,-3304.882268,7.585600,0.089866,0.048793
31 Dec 2017 01:14:00.000,965.537178,-6023.554718,-3270.523068,7.511704,0.963599,0.523192
31 Dec 2017 01:16:00.000,1855.992262,-5856.170926,-3179.641092,7.307715,1.822381,0.989472
31 Dec 2017 01:18:00.000,2714.303710,-5587.381564,-3033.700389,6.976674,2.651220,1.439495
31 Dec 2017 01:20:00.000,3525.521020,-5221.659951,-2835.129773,6.523882,3.435537,1.865344
31 Dec 2017 01:22:00.000,4275.462608,-4765.190484,-2587.287097,5.956840,4.161439,2.259477
31 Dec 2017 01:24:00.000,4950.973528,-4225.770663,-2294.406058,5.285136,4.815978,2.614863
31 Dec 2017 01:26:00.000,5540.167662,-3612.681986,-1961.526096,4.520300,5.387409,2.925124
31 Dec 2017 01:28:00.000,6032.649154,-2936.531526,-1594.406384,3.675605,5.865421,3.184663
31 Dec 2017 01:30:00.000,6419.708104,-2209.066794,-1199.425298,2.765834,6.241350,3.388776
31 Dec 2017 01:32:00.000,6694.485988,-1442.967189,-783.467188,1.807012,6.508355,3.533748
31 Dec 2017 01:34:00.000,6852.106843,-651.616047,-353.798615,0.816106,6.661567,3.616935
