"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6823.871493,-0.000000,-0.000000,0.000000,6.766992,3.674177
31 Dec 2017 00:02:00.000,6762.336050,809.596853,439.575226,-1.023977,6.705978,3.641049
31 Dec 2017 00:04:00.000,6578.888716,1604.600233,871.226842,-2.028676,6.524183,3.542342
31 Dec 2017 00:06:00.000,6276.979162,2370.714573,1287.192989,-2.995271,6.225312,3.380069
31 Dec 2017 00:08:00.000,5862.266889,3094.231400,1680.030575,-3.905828,5.815421,3.157516
31 Dec 2017 00:10:00.000,5342.489955,3762.301547,2042.763069,-4.743702,5.302743,2.879154
31 Dec 2017 00:12:00.000,4727.288273,4363.183013,2369.015085,-5.493894,4.697454,2.550510
31 Dec 2017 00:14:00.000,4027.987949,4886.458348,2653.130411,-6.143344,4.011405,2.178015
31 Dec 2017 00:16:00.000,3257.354213,5323.216890,2890.270951,-6.681159,3.257806,1.768844
31 Dec 2017 00:18:00.000,2429.321107,5666.198775,3076.494920,-7.098772,2.450904,1.330732
31 Dec 2017 00:20:00.000,1558.706261,5909.899259,3208.813487,-7.390033,1.605649,0.871796
31 Dec 2017 00:22:00.000,660.918779,6050.633354,3285.225866,-7.551234,0.737367,0.400357
31 Dec 2017 00:24:00.000,-248.332347,6086.562100,3304.733583,-7.581074,-0.138552,-0.075228
31 Dec 2017 00:26:00.000,-1153.322761,6017.682861,3267.335208,-7.480581,-1.006938,-0.546723
31 Dec 2017 00:28:00.000,-2038.584736,5845.786808,3174.003266,-7.252981,-1.853103,-1.006153
31 Dec 2017 00:30:00.000,-2889.162302,5574.387250,3026.645329,-6.903548,-2.663069,-1.445929
31 Dec 2017 00:32:00.000,-3690.846263,5208.622738,2828.051403,-6.439423,-3.423757,-1.858948
31 Dec 2017 00:34:00.000,-4430.386916,4755.138868,2581.829751,-5.869424,-4.123152,-2.238689
31 Dec 2017 00:36:00.000,-5095.683170,4221.952541,2292.333196,-5.203844,-4.750433,-2.579275
31 Dec 2017 00:38:00.000,-5675.947533,3618.302143,1964.577772,-4.454250,-5.296079,-2.875536
31 Dec 2017 00:40:00.000,-6161.846981,2954.486716,1604.155402,-3.633282,-5.751945,-3.123051
31 Dec 2017 00:42:00.000,-6545.620133,2241.696741,1217.142023,-2.754461,-6.111326,-3.318179
31 Dec 2017 00:44:00.000,-6821.171386,1491.838762,810.002359,-1.832000,-6.369000,-3.458085
31 Dec 2017 00:46:00.000,-6984.142748,717.355608,389.492316,-0.880616,-6.521254,-3.540752
31 Dec 2017 00:48:00.000,-7031.964063,-68.956321,-37.440227,0.084641,-6.565911,-3.564999
31 Dec 2017 00:50:00.000,-6963.882192,-854.131548,-463.755592,1.048566,-6.502332,-3.530478
31 Dec 2017 00:52:00.000,-6780.969499,-1625.220822,-882.422908,1.995967,-6.331425,-3.437683
31 Dec 2017 00:54:00.000,-6486.111759,-2369.476345,-1286.520686,2.911840,-6.055639,-3.287944
31 Dec 2017 00:56:00.000,-6083.975325,-3074.536028,-1669.336860,3.781544,-5.678950,-3.083418
31 Dec 2017 00:58:00.000,-5580.953166,-3728.605785,-2024.467762,4.590973,-5.206845,-2.827086
31 Dec 2017 01:00:00.000,-4985.089184,-4320.638648,-2345.915379,5.326748,-4.646283,-2.522726
31 Dec 2017 01:02:00.000,-4305.980101,-4840.509210,-2628.182065,5.976400,-4.005654,-2.174893
31 Dec 2017 01:04:00.000,-3554.654173,-5279.181546,-2866.361709,6.528572,-3.294715,-1.788884
31 Dec 2017 01:06:00.000,-2743.426128,-5628.868310,-3056.226131,6.973213,-2.524503,-1.370693
31 Dec 2017 01:08:00.000,-1885.727941,-5883.178333,-3194.305207,7.301787,-1.707229,-0.926950
31 Dec 2017 01:10:00.000,-995.915524,-6037.249546,-3277.959051,7.507465,-0.856142,-0.464847
31 Dec 2017 01:12:00.000,-89.051988,-6087.863730,-3305.440311,7.585319,0.014639,0.007949
31 Dec 2017 01:14:00.000,819.331078,-6033.539285,-3275.944544,7.532497,0.890326,0.483408
31 Dec 2017 01:16:00.000,1713.491951,-5874.598068,-3189.646504,7.348371,1.755691,0.953263
31 Dec 2017 01:18:00.000,2577.753312,-5613.202425,-3047.720250,7.034658,2.595334,1.409151
31 Dec 2017 01:20:00.000,3396.788426,-5253.358813,-2852.341110,6.595493,3.393970,1.842775
31 Dec 2017 01:22:00.000,4155.913321,-4800.884949,-2606.667847,6.037453,4.136749,2.246072
31 Dec 2017 01:24:00.000,4841.378252,-4263.338296,-2314.803828,5.369520,4.809582,2.611390
31 Dec 2017 01:26:00.000,5440.650914,-3649.904754,-1981.736590,4.602980,5.399473,2.931675
31 Dec 2017 01:28:00.000,5942.683280,-2971.247807,-1613.255932,3.751251,5.894844,3.200639
31 Dec 2017 01:30:00.000,6338.153753,-2239.319866,-1215.851485,2.829642,6.285839,3.412932
31 Dec 2017 01:32:00.000,6619.676536,-1467.139174,-796.591577,1.855052,6.564591,3.564282
31 Dec 2017 01:34:00.000,6781.970806,-668.537194,-362.986080,0.845602,6.725445,3.651619
31 Dec 2017 01:36:00.000,6821.983472,142.117129,77.163305,-0.179773,6.765120,3.673161
31 Dec 2017 01:38:00.000,6738.960827,950.208700,515.921229,-1.201761,6.682805,3.628467
31 Dec 2017 01:40:00.000,6534.466310,1741.174815,945.380789,-2.201130,6.480183,3.518452
31 Dec 2017 01:42:00.000,6212.343691,2500.802166,1357.824789,-3.159180,6.161379,3.345356
31 Dec 2017 01:44:00.000,5778.627115,3215.513630,1745.881452,-4.058175,5.732844,3.112681
31 Dec 2017 01:46:00.000,5241.401467,3872.636719,2102.670179,-4.881733,5.203171,2.825091
31 Dec 2017 01:48:00.000,4610.618356,4460.646518,2421.933450,-5.615177,4.582849,2.488284
31 Dec 2017 01:50:00.000,3897.874376,4969.377200,2698.151674,-6.245810,3.883989,2.108834
31 Dec 2017 01:52:00.000,3116.159376,5390.197754,2926.638592,-6.763137,3.120008,1.694026
31 Dec 2017 01:54:00.000,2279.582943,5716.149114,3103.615741,-7.159010,2.305299,1.251675
31 Dec 2017 01:56:00.000,1403.087396,5942.041486,3226.265292,-7.427705,1.454901,0.789947
31 Dec 2017 01:58:00.000,502.155257,6064.512147,3292.761435,-7.565941,0.584174,0.317180
31 Dec 2017 02:00:00.000,-407.481539,6082.045219,3302.281117,-7.572831,-0.291511,-0.158278
31 Dec 2017 02:02:00.000,-1310.124343,5994.955978,3254.995517,-7.449797,-1.157051,-0.628227
31 Dec 2017 02:04:00.000,-2190.377116,5805.342957,3152.044046,-7.200437,-1.997867,-1.084753
31 Dec 2017 02:06:00.000,-3033.398234,5517.011576,2995.492880,-6.830364,-2.800124,-1.520343
31 Dec 2017 02:08:00.000,-3825.131738,5135.373242,2788.280171,-6.347028,-3.550919,-1.927991
31 Dec 2017 02:10:00.000,-4552.515989,4667.323807,2534.150063,-5.759518,-4.238437,-2.301284
31 Dec 2017 02:12:00.000,-5203.668589,4121.105134,2237.577521,-5.078364,-4.852079,-2.634464
31 Dec 2017 02:14:00.000,-5768.047126,3506.153133,1903.685828,-4.315337,-5.382559,-2.922491
31 Dec 2017 02:16:00.000,-6236.585861,2832.935291,1538.158363,-3.483246,-5.821980,-3.161077
31 Dec 2017 02:18:00.000,-6601.808813,2112.780228,1147.146068,-2.595744,-6.163894,-3.346721
31 Dec 2017 02:20:00.000,-6857.919948,1357.701433,737.171732,-1.667146,-6.403341,-3.476731
31 Dec 2017 02:22:00.000,-7000.871170,580.216873,315.032059,-0.712241,-6.536877,-3.549235
31 Dec 2017 02:24:00.000,-7028.408835,-206.834101,-112.301753,0.253883,-6.562591,-3.563196
31 Dec 2017 02:26:00.000,-6940.099289,-990.475466,-537.784299,1.216009,-6.480118,-3.518417
31 Dec 2017 02:28:00.000,-6737.333752,-1757.779873,-954.396600,2.158967,-6.290634,-3.415535
31 Dec 2017 02:30:00.000,-6423.312612,-2496.053774,-1355.246622,3.067804,-5.996856,-3.256027
31 Dec 2017 02:32:00.000,-6003.008932,-3193.021409,-1733.669172,3.927958,-5.603029,-3.042197
31 Dec 2017 02:34:00.000,-5483.110731,-3837.006638,-2083.324623,4.725438,-5.114898,-2.777163
31 Dec 2017 02:36:00.000,-4871.941428,-4417.111357,-2398.295786,5.447010,-4.539676,-2.464843
