"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6893.142394,10.572886,5.740609,-0.013305,6.699642,3.637609
31 Dec 2017 00:02:00.000,6831.240317,812.091433,440.929672,-1.016867,6.639488,3.604948
31 Dec 2017 00:04:00.000,6649.816986,1599.402031,868.404448,-2.002375,6.463204,3.509234
31 Dec 2017 00:06:00.000,6352.092197,2358.741283,1280.692024,-2.952359,6.174009,3.352214
31 Dec 2017 00:08:00.000,5943.344603,3076.856074,1670.596542,-3.850031,5.777174,3.136750
31 Dec 2017 00:10:00.000,5430.810367,3741.243496,2031.329480,-4.679605,5.279909,2.866757
31 Dec 2017 00:12:00.000,4823.545023,4340.375030,2356.631361,-5.426590,4.691216,2.547122
31 Dec 2017 00:14:00.000,4132.251877,4863.900500,2640.882499,-6.078055,4.021699,2.183604
31 Dec 2017 00:16:00.000,3369.081032,5302.827946,2879.200657,-6.622853,3.283351,1.782714
31 Dec 2017 00:18:00.000,2547.403661,5649.676226,3067.523908,-7.051807,2.489319,1.351590
31 Dec 2017 00:20:00.000,1681.566568,5898.597932,3202.677367,-7.357853,1.653642,0.897855
31 Dec 2017 00:22:00.000,786.632304,6045.470938,3282.422903,-7.536139,0.790991,0.429473
31 Dec 2017 00:24:00.000,-121.889835,6087.957692,3305.491328,-7.584077,-0.083608,-0.045396
31 Dec 2017 00:26:00.000,-1028.316670,6025.532051,3271.596970,-7.501354,-0.955036,-0.518542
31 Dec 2017 00:28:00.000,-1917.062817,5859.474168,3181.434896,-7.289905,-1.808349,-0.981854
31 Dec 2017 00:30:00.000,-2772.906454,5592.834465,3036.661350,-6.953841,-2.629028,-1.427446
31 Dec 2017 00:32:00.000,-3581.244834,5230.368292,2839.858275,-6.499348,-3.403215,-1.847795
31 Dec 2017 00:34:00.000,-4328.335645,4778.443223,2594.482983,-5.934556,-4.117931,-2.235854
31 Dec 2017 00:36:00.000,-5001.520787,4244.921312,2304.804221,-5.269378,-4.761278,-2.585163
31 Dec 2017 00:38:00.000,-5589.429625,3639.018833,1975.826017,-4.515327,-5.322613,-2.889943
31 Dec 2017 00:40:00.000,-6082.159203,2971.146222,1613.200776,-3.685315,-5.792699,-3.145179
31 Dec 2017 00:42:00.000,-6471.429396,2252.731015,1223.133144,-2.793440,-6.163841,-3.346692
31 Dec 2017 00:44:00.000,-6750.711332,1496.026670,812.276208,-1.854753,-6.429984,-3.491197
31 Dec 2017 00:46:00.000,-6915.327823,713.910159,387.621590,-0.885024,-6.586803,-3.576342
31 Dec 2017 00:48:00.000,-6962.524847,-80.328789,-43.614974,0.099505,-6.631752,-3.600747
31 Dec 2017 00:50:00.000,-6891.513460,-873.203879,-474.111023,1.082366,-6.564103,-3.564017
31 Dec 2017 00:52:00.000,-6703.481750,-1651.251026,-896.556156,2.047118,-6.384954,-3.466747
31 Dec 2017 00:54:00.000,-6401.576760,-2401.246826,-1303.770650,2.977596,-6.097214,-3.310517
31 Dec 2017 00:56:00.000,-5990.856507,-3110.423862,-1688.822364,3.858155,-5.705566,-3.097870
31 Dec 2017 00:58:00.000,-5478.212551,-3766.679969,-2045.140358,4.673921,-5.216403,-2.832276
31 Dec 2017 01:00:00.000,-4872.263791,-4358.778564,-2366.623664,5.411019,-4.637741,-2.518088
31 Dec 2017 01:02:00.000,-4183.222507,-4876.537151,-2647.743640,6.056803,-3.979110,-2.160481
31 Dec 2017 01:04:00.000,-3422.734009,-5311.001119,-2883.638328,6.600069,-3.251422,-1.765378
31 Dec 2017 01:06:00.000,-2603.691603,-5654.599976,-3070.197286,7.031253,-2.466806,-1.339367
31 Dec 2017 01:08:00.000,-1740.029012,-5901.283213,-3204.135355,7.342608,-1.638433,-0.889597
31 Dec 2017 01:10:00.000,-846.492850,-6046.633157,-3283.053936,7.528355,-0.780311,-0.423674
31 Dec 2017 01:12:00.000,61.601830,-6087.952287,-3305.488393,7.584817,0.092938,0.050461
31 Dec 2017 01:14:00.000,968.629374,-6024.322787,-3270.940393,7.510508,0.966315,0.524666
31 Dec 2017 01:16:00.000,1858.920773,-5856.636443,-3179.894137,7.306199,1.824702,0.990733
31 Dec 2017 01:18:00.000,2717.035897,-5587.593395,-3033.815681,6.974934,2.653124,1.440529
31 Dec 2017 01:20:00.000,3528.035924,-5221.668796,-2835.134834,6.522017,3.437017,1.866148
31 Dec 2017 01:22:00.000,4277.750869,-4765.047023,-2587.209440,5.954944,4.162501,2.260054
31 Dec 2017 01:24:00.000,4953.036936,-4225.523761,-2294.272210,5.283299,4.816645,2.615225
31 Dec 2017 01:26:00.000,5542.018373,-3612.377009,-1961.360687,4.518605,5.387717,2.925291
31 Dec 2017 01:28:00.000,6034.308593,-2936.208826,-1594.231318,3.674123,5.865417,3.184662
31 Dec 2017 01:30:00.000,6421.205596,-2208.760395,-1199.259046,2.764625,6.241092,3.388636
31 Dec 2017 01:32:00.000,6695.857158,-1442.703718,-783.324207,1.806122,6.507909,3.533506
31 Dec 2017 01:34:00.000,6853.391851,-651.413945,-353.688915,0.815564,6.661002,3.616629
31 Dec 2017 01:36:00.000,6891.012696,151.273107,82.134595,-0.189480,6.697574,3.636486
31 Dec 2017 01:38:00.000,6808.051139,951.313216,516.520932,-1.191163,6.616954,3.592713
31 Dec 2017 01:40:00.000,6605.979997,1734.710454,941.870928,-2.171700,6.420616,3.486110
31 Dec 2017 01:42:00.000,6288.385041,2487.772877,1350.750462,-3.113715,6.112143,3.318623
31 Dec 2017 01:44:00.000,5860.895938,3197.361738,1736.025779,-4.000575,5.697157,3.093304
31 Dec 2017 01:46:00.000,5331.078262,3851.129007,2090.992444,-4.816699,5.183192,2.814243
31 Dec 2017 01:48:00.000,4708.289230,4437.738319,2409.495313,-5.547851,4.579544,2.486489
31 Dec 2017 01:50:00.000,4003.500651,4947.064974,2686.037124,-6.181398,3.897078,2.115940
31 Dec 2017 01:52:00.000,3229.093271,5370.371242,2915.873675,-6.706524,3.148006,1.709228
31 Dec 2017 01:54:00.000,2398.627224,5700.453930,3095.093951,-7.114414,2.345650,1.273584
31 Dec 2017 01:56:00.000,1526.593680,5931.761896,3220.683930,-7.398385,1.504179,0.816703
31 Dec 2017 01:58:00.000,628.152980,6060.482007,3290.573248,-7.553978,0.638345,0.346593
31 Dec 2017 02:00:00.000,-281.135416,6084.592734,3303.664304,-7.579005,-0.236788,-0.128566
31 Dec 2017 02:02:00.000,-1185.585938,6003.885348,3259.843770,-7.473549,-1.106116,-0.600572
31 Dec 2017 02:04:00.000,-2069.657886,5819.953304,3159.976818,-7.239932,-1.954750,-1.061342
31 Dec 2017 02:06:00.000,-2918.219700,5536.150954,3005.884715,-6.882636,-2.768269,-1.503048
31 Dec 2017 02:08:00.000,-3716.802262,5157.523265,2800.306653,-6.408198,-3.532955,-1.918238
31 Dec 2017 02:10:00.000,-4451.837419,4690.708560,2546.846948,-5.825073,-4.236006,-2.299964
31 Dec 2017 02:12:00.000,-5110.878362,4143.816641,2249.908864,-5.143466,-4.865729,-2.641875
31 Dec 2017 02:14:00.000,-5682.799015,3526.284871,1914.616470,-4.375150,-5.411717,-2.938323
31 Dec 2017 02:16:00.000,-6157.970000,2848.714924,1546.726005,-3.533263,-5.864996,-3.184433
31 Dec 2017 02:18:00.000,-6528.409217,2122.693056,1152.528294,-2.632084,-6.218149,-3.376179
31 Dec 2017 02:20:00.000,-6787.905450,1360.596744,738.743758,-1.686809,-6.465420,-3.510437
31 Dec 2017 02:22:00.000,-6932.113788,575.390611,312.411612,-0.713308,-6.602791,-3.585023
31 Dec 2017 02:24:00.000,-6958.621973,-219.585491,-119.225193,0.272121,-6.628033,-3.598728
31 Dec 2017 02:26:00.000,-6866.987085,-1010.833332,-548.837718,1.252995,-6.540737,-3.551331
31 Dec 2017 02:28:00.000,-6658.742240,-1784.915230,-969.129897,2.212904,-6.342321,-3.443600
31 Dec 2017 02:30:00.000,-6337.373259,-2528.672183,-1372.956973,3.135755,-6.036007,-3.277285
31 Dec 2017 02:32:00.000,-5908.265499,-3229.438319,-1753.441941,4.006022,-5.626783,-3.055094
31 Dec 2017 02:34:00.000,-5378.621319,-3875.248809,-2104.088428,4.808989,-5.121331,-2.780656
31 Dec 2017 02:36:00.000,-4757.348942,-4455.038334,-2418.888455,5.530979,-4.527943,-2.458473
31 Dec 2017 02:38:00.000,-4054.923772,-4958.827227,-2692.423505,6.159584,-3.856402,-2.093855
31 Dec 2017 02:40:00.000,-3283.223579,-5377.892398,-2919.957328,6.683874,-3.117842,-1.692850
31 Dec 2017 02:42:00.000,-2455.339358,-5704.920202,-3097.518939,7.094590,-2.324590,-1.262149
31 Dec 2017 02:44:00.000,-1585.364060,-5934.138470,-3221.974304,7.384319,-1.489978,-0.808992
31 Dec 2017 02:46:00.000,-688.161865,-6061.425057,-3291.085282,7.547642,-0.628139,-0.341052
31 Dec 2017 02:48:00.000,220.878873,-6084.390459,-3303.554478,7.581260,0.246222,0.133688
31 Dec 2017 02:50:00.000,1126.105416,-6002.432298,-3259.054828,7.484077,1.118067,0.607061
31 Dec 2017 02:52:00.000,2011.869094,-5816.759864,-3158.242921,7.257263,1.972282,1.070862
31 Dec 2017 02:54:00.000,2862.797922,-5530.387297,-3002.755304,6.904259,2.793945,1.516988
31 Dec 2017 02:56:00.000,3664.068552,-5148.094581,-2795.187295,6.430759,3.568593,1.937588
31 Dec 2017 02:58:00.000,4401.672400,-4676.356084,-2539.054190,5.844634,4.282494,2.325205
31 Dec 2017 03:00:00.000,5062.670673,-4123.237108,-2238.735089,5.155820,4.922908,2.672921
31 Dec 2017 03:02:00.000,5635.432967,-3498.259616,-1899.399998,4.376157,5.478336,2.974494
31 Dec 2017 03:04:00.000,6109.854235,-2812.239106,-1526.921252,3.519190,5.938754,3.224481
31 Dec 2017 03:06:00.000,6477.545237,-2077.095324,-1127.770745,2.599929,6.295815,3.418349
31 Dec 2017 03:08:00.000,6731.992005,-1305.640261,-708.904822,1.634569,6.543022,3.552571
31 Dec 2017 03:10:00.000,6868.680534,-511.347546,-277.639066,0.640195,6.675862,3.624698
31 Dec 2017 03:12:00.000,6885.183633,291.892119,158.484489,-0.365552,6.691910,3.633410
31 Dec 2017 03:14:00.000,6781.207787,1090.024388,591.834953,-1.364810,6.590869,3.578550
31 Dec 2017 03:16:00.000,6558.598855,1869.088196,1014.832088,-2.339843,6.374587,3.461118
31 Dec 2017 03:18:00.000,6221.306465,2615.470693,1420.084719,-3.273379,6.047010,3.283258
31 Dec 2017 03:20:00.000,5775.307984,3316.154792,1800.525144,-4.148949,5.614103,3.048209
31 Dec 2017 03:22:00.000,5228.493967,3958.954121,2149.536704,-4.951185,5.083723,2.760236
31 Dec 2017 03:24:00.000,4590.517879,4532.730606,2461.071917,-5.666117,4.465454,2.424544
31 Dec 2017 03:26:00.000,3872.613721,5027.590399,2729.758861,-6.281413,3.770413,2.047167
31 Dec 2017 03:28:00.000,3087.385839,5435.054528,2950.993833,-6.786598,3.011026,1.634854
31 Dec 2017 03:30:00.000,2248.575704,5748.201350,3121.018685,-7.173219,2.200781,1.194927
31 Dec 2017 03:32:00.000,1370.810818,5961.778629,3236.981686,-7.434978,1.353969,0.735145
31 Dec 2017 03:34:00.000,469.341024,6072.283862,3296.981132,-7.567812,0.485415,0.263559
31 Dec 2017 03:36:00.000,-440.232427,6078.012194,3300.091363,-7.569931,-0.389790,-0.211639
31 Dec 2017 03:38:00.000,-1342.229890,5979.071983,3246.371211,-7.441813,-1.256560,-0.682257
31 Dec 2017 03:40:00.000,-2221.163455,5777.368713,3136.855271,-7.186165,-2.100072,-1.140246
31 Dec 2017 03:42:00.000,-3061.999591,5476.558510,2973.528657,-6.807838,-2.906012,-1.577836
31 Dec 2017 03:44:00.000,-3850.410128,5081.972972,2759.286191,-6.313714,-3.660805,-1.987655
31 Dec 2017 03:46:00.000,-4573.007828,4600.517432,2497.877161,-5.712568,-4.351831,-2.362852
31 Dec 2017 03:48:00.000,-5217.563288,4040.545026,2193.836952,-5.014893,-4.967611,-2.697193
31 Dec 2017 03:50:00.000,-5773.200386,3411.709193,1852.406952,-4.232717,-5.497978,-2.985159
31 Dec 2017 03:52:00.000,-6230.567939,2724.797336,1479.444245,-3.379392,-5.934221,-3.222019
31 Dec 2017 03:54:00.000,-6581.985663,1991.548498,1081.322609,-2.469376,-6.269209,-3.403903
31 Dec 2017 03:56:00.000,-6821.562921,1224.457917,664.826406,-1.517999,-6.497485,-3.527846
