"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6893.026846,0.000000,0.000000,-0.000000,6.699780,3.637684
31 Dec 2017 00:02:00.000,6832.714481,801.627466,435.248162,-1.003715,6.641162,3.605856
31 Dec 2017 00:04:00.000,6652.848596,1589.229307,862.881031,-1.989606,6.466377,3.510956
31 Dec 2017 00:06:00.000,6356.622116,2349.036261,1275.422510,-2.940192,6.178619,3.354716
31 Dec 2017 00:08:00.000,5949.288104,3067.786334,1665.671923,-3.838672,5.783136,3.139986
31 Dec 2017 00:10:00.000,5438.058840,3732.964943,2026.834407,-4.669245,5.287114,2.870669
31 Dec 2017 00:12:00.000,4831.968054,4333.029349,2352.642767,-5.417401,4.699536,2.551640
31 Dec 2017 00:14:00.000,4141.699651,4857.612901,2637.468370,-6.070189,4.030988,2.188648
31 Dec 2017 00:16:00.000,3379.387007,5297.705222,2876.418983,-6.616436,3.293449,1.788197
31 Dec 2017 00:18:00.000,2558.387462,5645.805144,3065.421802,-7.046942,2.500053,1.357418
31 Dec 2017 00:20:00.000,1693.037049,5896.043962,3201.290382,-7.354617,1.664830,0.903929
31 Dec 2017 00:22:00.000,798.390728,6044.277332,3281.774528,-7.534582,0.802444,0.435692
31 Dec 2017 00:24:00.000,-110.046540,6088.144908,3305.592676,-7.584221,-0.072080,-0.039136
31 Dec 2017 00:26:00.000,-1016.592629,6027.097535,3272.446660,-7.503194,-0.943625,-0.512347
31 Dec 2017 00:28:00.000,-1905.659937,5862.392465,3183.019112,-7.293410,-1.797245,-0.975824
31 Dec 2017 00:30:00.000,-2762.021204,5597.057676,3038.954089,-6.958951,-2.618414,-1.421683
31 Dec 2017 00:32:00.000,-3571.065115,5235.826850,2842.821771,-6.505980,-3.393268,-1.842394
31 Dec 2017 00:34:00.000,-4319.037783,4785.046994,2598.068301,-5.942602,-4.108817,-2.230906
31 Dec 2017 00:36:00.000,-4993.266696,4252.560995,2308.952020,-5.278705,-4.753151,-2.580750
31 Dec 2017 00:38:00.000,-5582.364157,3647.567657,1980.467469,-4.525783,-5.315609,-2.886140
