"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6893.152876,-0.422916,-0.229624,0.000532,6.699653,3.637614
31 Dec 2017 00:02:00.000,6832.906387,801.193073,435.012303,-1.003151,6.641100,3.605822
31 Dec 2017 00:04:00.000,6653.109496,1588.791794,862.643475,-1.989022,6.466388,3.510962
31 Dec 2017 00:06:00.000,6356.953565,2348.604736,1275.188203,-2.939602,6.178709,3.354765
31 Dec 2017 00:08:00.000,5949.689865,3067.370385,1665.446070,-3.838092,5.783306,3.140079
31 Dec 2017 00:10:00.000,5438.528724,3732.574310,2026.622298,-4.668692,5.287366,2.870805
31 Dec 2017 00:12:00.000,4832.501848,4332.673567,2352.449577,-5.416892,4.699865,2.551818
31 Dec 2017 00:14:00.000,4142.291150,4857.300921,2637.298962,-6.069739,4.031388,2.188865
31 Dec 2017 00:16:00.000,3380.028139,5297.445046,2876.277700,-6.616061,3.293911,1.788447
31 Dec 2017 00:18:00.000,2559.068515,5645.603484,3065.312289,-7.046654,2.500564,1.357695
31 Dec 2017 00:20:00.000,1693.746981,5895.905949,3201.215426,-7.354426,1.665377,0.904226
31 Dec 2017 00:22:00.000,799.117548,6044.206296,3281.735937,-7.534493,0.803011,0.435999
31 Dec 2017 00:24:00.000,-109.315341,6088.142234,3305.591202,-7.584237,-0.071510,-0.038827
31 Dec 2017 00:26:00.000,-1015.869619,6027.162606,3272.481969,-7.503314,-0.943069,-0.512044
31 Dec 2017 00:28:00.000,-1904.957284,5862.522701,3183.089803,-7.293628,-1.796718,-0.975538
31 Dec 2017 00:30:00.000,-2761.350238,5597.248654,3039.057761,-6.959259,-2.617931,-1.421421
31 Dec 2017 00:32:00.000,-3570.435938,5236.072513,2842.955136,-6.506366,-3.392841,-1.842162
31 Dec 2017 00:34:00.000,-4318.458941,4785.339921,2598.227330,-5.943052,-4.108458,-2.230710
31 Dec 2017 00:36:00.000,-4992.744930,4252.892726,2309.132120,-5.279204,-4.752865,-2.580595
31 Dec 2017 00:38:00.000,-5581.904253,3647.929052,1980.663677,-4.526313,-5.315401,-2.886027
31 Dec 2017 00:40:00.000,-6076.012468,2980.843517,1618.465819,-3.697273,-5.786811,-3.141982
31 Dec 2017 00:42:00.000,-6466.765861,2263.050432,1228.736010,-2.806166,-6.159375,-3.344267
31 Dec 2017 00:44:00.000,-6747.610263,1506.792821,818.121671,-1.868031,-6.427015,-3.489584
31 Dec 2017 00:46:00.000,-6913.841894,724.940173,393.610361,-0.898627,-6.585380,-3.575569
31 Dec 2017 00:48:00.000,-6962.679291,-69.222196,-37.584582,0.085807,-6.631900,-3.600827
31 Dec 2017 00:50:00.000,-6893.305654,-862.209274,-468.141393,1.068806,-6.565819,-3.564948
31 Dec 2017 00:52:00.000,-6706.881262,-1640.555100,-890.748655,2.033927,-6.388209,-3.468514
31 Dec 2017 00:54:00.000,-6406.525838,-2391.031273,-1298.223930,2.964997,-6.101954,-3.313091
31 Dec 2017 00:56:00.000,-5997.271022,-3100.862328,-1683.630710,3.846365,-5.711712,-3.101206
31 Dec 2017 00:58:00.000,-5485.983367,-3757.935127,-2040.392096,4.663139,-5.223850,-2.836319
31 Dec 2017 01:00:00.000,-4881.258547,-4350.999355,-2362.399667,5.401431,-4.646365,-2.522770
31 Dec 2017 01:02:00.000,-4193.287796,-4869.856244,-2644.115945,6.048574,-3.988766,-2.165723
31 Dec 2017 01:04:00.000,-3433.697909,-5305.532621,-2880.668894,6.593343,-3.261945,-1.771092
31 Dec 2017 01:06:00.000,-2615.366534,-5650.437436,-3067.936911,7.026147,-2.478018,-1.345454
31 Dec 2017 01:08:00.000,-1752.214875,-5898.497968,-3202.622777,7.339211,-1.650143,-0.895955
31 Dec 2017 01:10:00.000,-858.980396,-6045.273025,-3282.315123,7.526731,-0.792319,-0.430194
31 Dec 2017 01:12:00.000,49.027447,-6088.040659,-3305.536052,7.584996,0.080838,0.043892
31 Dec 2017 01:14:00.000,956.184919,-6025.858132,-3271.773698,7.512492,0.954333,0.518160
31 Dec 2017 01:16:00.000,1846.821196,-5859.592234,-3181.498689,7.309956,1.813045,0.984403
31 Dec 2017 01:18:00.000,2705.490598,-5591.918469,-3036.163707,6.980403,2.641993,1.434485
31 Dec 2017 01:20:00.000,3517.245084,-5227.288153,-2838.185619,6.529105,3.426607,1.860496
31 Dec 2017 01:22:00.000,4267.901917,-4771.863051,-2590.909988,5.963531,4.152995,2.254892
31 Dec 2017 01:24:00.000,4944.301223,-4233.417867,-2298.558135,5.293239,4.808210,2.610645
31 Dec 2017 01:26:00.000,5534.548106,-3621.211641,-1966.157308,4.529725,5.380500,2.921373
31 Dec 2017 01:28:00.000,6028.234097,-2945.829847,-1599.454950,3.686232,5.859547,3.181474
31 Dec 2017 01:30:00.000,6416.632962,-2218.999767,-1204.818454,2.777511,6.236672,3.386236
31 Dec 2017 01:32:00.000,6692.866314,-1453.382453,-789.122210,1.819561,6.505017,3.531936
31 Dec 2017 01:34:00.000,6852.035107,-662.345263,-359.624101,0.829321,6.659690,3.615917
31 Dec 2017 01:36:00.000,6891.313789,140.280474,76.166075,-0.175647,6.697865,3.636644
31 Dec 2017 01:38:00.000,6810.004802,940.451621,510.623517,-1.177494,6.618843,3.593738
31 Dec 2017 01:40:00.000,6609.552050,1724.169925,936.147796,-2.158435,6.424069,3.487985
31 Dec 2017 01:42:00.000,6293.513020,2477.737745,1345.301698,-3.101086,6.117100,3.321314
31 Dec 2017 01:44:00.000,5867.490232,3188.007373,1730.946604,-3.988801,5.703529,3.096763
31 Dec 2017 01:46:00.000,5339.023744,3842.618733,2086.371538,-4.805985,5.190867,2.818410
31 Dec 2017 01:48:00.000,4717.447342,4430.220551,2405.413263,-5.538383,4.588386,2.491290
31 Dec 2017 01:50:00.000,4013.711907,4940.670641,2682.565021,-6.173338,3.906932,2.121291
31 Dec 2017 01:52:00.000,3240.180115,5365.211539,2913.071899,-6.700011,3.158699,1.715034
31 Dec 2017 01:54:00.000,2410.397201,5696.618430,3093.011142,-7.109557,2.356995,1.279744
31 Dec 2017 01:56:00.000,1538.842846,5929.317069,3219.356182,-7.395266,1.515979,0.823109
31 Dec 2017 01:58:00.000,640.669489,6059.470143,3290.023529,-7.552647,0.650394,0.353135
31 Dec 2017 02:00:00.000,-268.567609,6085.031307,3303.902107,-7.579482,-0.224698,-0.122001
31 Dec 2017 02:02:00.000,-1173.183338,6005.766812,3260.865001,-7.475822,-1.094192,-0.594098
31 Dec 2017 02:04:00.000,-2057.633729,5823.245318,3161.763926,-7.243957,-1.943197,-1.055070
31 Dec 2017 02:06:00.000,-2906.780321,5540.797036,3008.407036,-6.888342,-2.757286,-1.497084
31 Dec 2017 02:08:00.000,-3706.143600,5163.443843,2803.520990,-6.415485,-3.522728,-1.912685
31 Dec 2017 02:10:00.000,-4442.141722,4697.802407,2550.698343,-5.833812,-4.226707,-2.294914
31 Dec 2017 02:12:00.000,-5102.311150,4151.962665,2254.331573,-5.153507,-4.857517,-2.637416
31 Dec 2017 02:14:00.000,-5675.506334,3535.344213,1919.535103,-4.386321,-5.404729,-2.934528
31 Dec 2017 02:16:00.000,-6152.076015,2858.533349,1552.056823,-3.545371,-5.859350,-3.181367
31 Dec 2017 02:18:00.000,-6524.014174,2133.103577,1158.180632,-2.644923,-6.213940,-3.373894
31 Dec 2017 02:20:00.000,-6785.084041,1371.422447,744.621562,-1.700160,-6.462719,-3.508970
31 Dec 2017 02:22:00.000,-6930.913935,586.447627,318.415051,-0.726944,-6.601642,-3.584399
