"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
14 Dec 2017 00:00:00.000,6770.049256,0.000000,0.000000,-0.000000,6.760290,3.670538
14 Dec 2017 00:02:00.000,6707.530987,808.736172,439.107871,-1.040340,6.697865,3.636643
14 Dec 2017 00:04:00.000,6521.148005,1602.538510,870.107333,-2.061183,6.511794,3.535615
14 Dec 2017 00:06:00.000,6214.391887,2366.761201,1285.046358,-3.043430,6.205663,3.369400
14 Dec 2017 00:08:00.000,5793.002941,3087.328011,1676.282176,-3.968763,5.785363,3.141195
14 Dec 2017 00:10:00.000,5264.853894,3751.001096,2036.627225,-4.820018,5.258950,2.855377
14 Dec 2017 00:12:00.000,4639.791345,4345.631258,2359.485029,-5.581515,4.636478,2.517402
14 Dec 2017 00:14:00.000,3929.439015,4860.384379,2638.973142,-6.239362,3.929772,2.133692
14 Dec 2017 00:16:00.000,3146.967703,5285.939544,2870.030723,-6.781704,3.152182,1.711495
14 Dec 2017 00:18:00.000,2306.837543,5614.655211,3048.508750,-7.198938,2.318301,1.258734
14 Dec 2017 00:20:00.000,1424.518565,5840.700679,3171.241413,-7.483857,1.443665,0.783846
14 Dec 2017 00:22:00.000,516.195849,5960.151075,3236.097680,-7.631762,0.544448,0.295611
14 Dec 2017 00:24:00.000,-401.534409,5971.044970,3242.012582,-7.640505,-0.362850,-0.197012
14 Dec 2017 00:26:00.000,-1311.971750,5873.404610,3188.998197,-7.510492,-1.261719,-0.685057
14 Dec 2017 00:28:00.000,-2198.615325,5669.219537,3078.134759,-7.244632,-2.135930,-1.159715
14 Dec 2017 00:30:00.000,-3045.459312,5362.395053,2911.542673,-6.848247,-2.969828,-1.612485
14 Dec 2017 00:32:00.000,-3837.274896,4958.667554,2692.336548,-6.328941,-3.748593,-2.035320
14 Dec 2017 00:34:00.000,-4559.874393,4465.489241,2424.562598,-5.696432,-4.458487,-2.420761
14 Dec 2017 00:36:00.000,-5200.353656,3891.885030,2113.120952,-4.962359,-5.087071,-2.762054
14 Dec 2017 00:38:00.000,-5747.309493,3248.284785,1763.674565,-4.140060,-5.623397,-3.053255
14 Dec 2017 00:40:00.000,-6191.029386,2546.334135,1382.546497,-3.244334,-6.058175,-3.289320
14 Dec 2017 00:42:00.000,-6523.651276,1798.687242,976.607394,-2.291179,-6.383907,-3.466178
14 Dec 2017 00:44:00.000,-6739.291718,1018.784942,553.155037,-1.297528,-6.594995,-3.580790
14 Dec 2017 00:46:00.000,-6834.141073,220.621704,119.787800,-0.280965,-6.687821,-3.631190
14 Dec 2017 00:48:00.000,-6806.524824,-581.495184,-315.726093,0.740558,-6.660795,-3.616516
14 Dec 2017 00:50:00.000,-6656.930448,-1373.190759,-745.581676,1.749007,-6.514380,-3.537019
14 Dec 2017 00:52:00.000,-6387.999601,-2140.268478,-1162.070855,2.726561,-6.251084,-3.394061
14 Dec 2017 00:54:00.000,-6004.485679,-2868.953829,-1557.714681,3.655894,-5.875425,-3.190095
14 Dec 2017 00:56:00.000,-5513.177151,-3546.132070,-1925.392430,4.520460,-5.393868,-2.928631
14 Dec 2017 00:58:00.000,-4922.787383,-4159.576657,-2258.465633,5.304768,-4.814733,-2.614186
14 Dec 2017 01:00:00.000,-4243.812053,-4698.164941,-2550.895183,5.994647,-4.148076,-2.252221
14 Dec 2017 01:02:00.000,-3488.355636,-5152.077688,-2797.349672,6.577496,-3.405537,-1.849056
14 Dec 2017 01:04:00.000,-2669.928909,-5512.979033,-2993.303095,7.042514,-2.600168,-1.411776
14 Dec 2017 01:06:00.000,-1803.219907,-5774.173524,-3135.120118,7.380914,-1.746221,-0.948120
14 Dec 2017 01:08:00.000,-903.841294,-5930.737059,-3220.127174,7.586100,-0.858924,-0.466358
14 Dec 2017 01:10:00.000,11.942314,-5979.618720,-3246.667748,7.653824,0.045774,0.024853
14 Dec 2017 01:12:00.000,927.502964,-5919.710794,-3214.140401,7.582295,0.951482,0.516612
14 Dec 2017 01:14:00.000,1826.149240,-5751.884698,-3123.018275,7.372254,1.841656,0.999937
14 Dec 2017 01:16:00.000,2691.432183,-5478.991003,-2974.849102,7.027002,2.699906,1.465929
14 Dec 2017 01:18:00.000,3507.451579,-5105.822418,-2772.235112,6.552377,3.510305,1.905940
14 Dec 2017 01:20:00.000,4259.156575,-4639.039286,-2518.792575,5.956679,4.257704,2.311744
14 Dec 2017 01:22:00.000,4932.634372,-4087.058007,-2219.091222,5.250550,4.928035,2.675704
14 Dec 2017 01:24:00.000,5515.380655,-3459.903652,-1878.574225,4.446789,5.508601,2.990926
14 Dec 2017 01:26:00.000,5996.545585,-2769.029016,-1503.459939,3.560129,5.988347,3.251407
14 Dec 2017 01:28:00.000,6367.149499,-2027.103227,-1100.627143,2.606959,6.358092,3.452162
14 Dec 2017 01:30:00.000,6620.263016,-1247.773987,-677.485932,1.605004,6.610736,3.589337
14 Dec 2017 01:32:00.000,6751.146999,-445.408266,-241.836933,0.572982,6.741415,3.660289
14 Dec 2017 01:34:00.000,6757.348777,365.183003,198.278173,-0.469781,6.747608,3.663652
14 Dec 2017 01:36:00.000,6638.752099,1169.030185,634.731540,-1.503737,6.629195,3.599359
14 Dec 2017 01:38:00.000,6397.579502,1951.293772,1059.465971,-2.509521,6.388460,3.468651
14 Dec 2017 01:40:00.000,6038.347035,2697.550284,1464.650159,-3.468338,6.030041,3.274045
14 Dec 2017 01:42:00.000,5567.772538,3394.068840,1842.828841,-4.362346,5.560822,3.019280
14 Dec 2017 01:44:00.000,4994.639859,4028.072302,2187.064601,-5.175011,4.989785,2.709232
14 Dec 2017 01:46:00.000,4329.622550,4587.977407,2491.068239,-5.891423,4.327809,2.349808
14 Dec 2017 01:48:00.000,3585.071459,5063.608958,2749.315076,-6.498579,3.587441,1.947822
14 Dec 2017 01:50:00.000,2774.771498,5446.383952,2957.144920,-6.985616,2.782626,1.510842
14 Dec 2017 01:52:00.000,1913.673350,5729.462399,3110.843961,-7.343993,1.928418,1.047046
14 Dec 2017 01:54:00.000,1017.606315,5907.862526,3207.707317,-7.567626,1.040682,0.565044
14 Dec 2017 01:56:00.000,102.978590,5978.538987,3246.081501,-7.652959,0.135775,0.073720
14 Dec 2017 01:58:00.000,-813.528731,5940.423588,3225.386530,-7.598999,-0.769760,-0.417945
14 Dec 2017 02:00:00.000,-1715.267876,5794.428896,3146.117887,-7.407288,-1.659502,-0.901036
14 Dec 2017 02:02:00.000,-2585.925103,5543.415796,3009.828907,-7.081836,-2.517449,-1.366863
