"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6858.512193,0.000000,0.000000,-0.000000,6.733237,3.655849
31 Dec 2017 00:02:00.000,6797.593987,805.594832,437.402305,-1.013753,6.673436,3.623380
31 Dec 2017 00:04:00.000,6615.953574,1596.883950,867.037243,-2.008968,6.495193,3.526602
31 Dec 2017 00:06:00.000,6316.909707,2359.838173,1281.287586,-2.967507,6.201948,3.367383
31 Dec 2017 00:08:00.000,5905.914869,3080.974383,1672.832601,-3.872009,5.799343,3.148786
31 Dec 2017 00:10:00.000,5390.439772,3747.611376,2034.786957,-4.706254,5.295073,2.874990
31 Dec 2017 00:12:00.000,4779.816803,4348.105915,2360.828889,-5.455485,4.698707,2.551190
31 Dec 2017 00:14:00.000,4085.047233,4872.063678,2645.314743,-6.106686,4.021452,2.183470
31 Dec 2017 00:16:00.000,3318.577870,5310.520832,2883.377553,-6.648815,3.275896,1.778666
31 Dec 2017 00:18:00.000,2494.053501,5656.093005,3071.007935,-7.072973,2.475726,1.344210
31 Dec 2017 00:20:00.000,1626.051731,5903.089654,3205.116173,-7.372526,1.635437,0.887970
31 Dec 2017 00:22:00.000,729.806884,6047.592879,3283.575022,-7.543168,0.770030,0.418092
31 Dec 2017 00:24:00.000,-179.070636,6087.500821,3305.243267,-7.582937,-0.105278,-0.057161
31 Dec 2017 00:26:00.000,-1084.873560,6022.536686,3269.970620,-7.492171,-0.975332,-0.529562
31 Dec 2017 00:28:00.000,-1972.070202,5854.225161,3178.584918,-7.273440,-1.825304,-0.991059
31 Dec 2017 00:30:00.000,-2825.565499,5585.838609,3032.862910,-6.931432,-2.640931,-1.433909
31 Dec 2017 00:32:00.000,-3630.946789,5222.315804,2835.486131,-6.472807,-3.408737,-1.850793
31 Dec 2017 00:34:00.000,-4374.711195,4770.156209,2589.983502,-5.906038,-4.116218,-2.234924
31 Dec 2017 00:36:00.000,-5044.472243,4237.292909,2300.662336,-5.241227,-4.752008,-2.580130
31 Dec 2017 00:38:00.000,-5629.143941,3632.947247,1972.529414,-4.489914,-5.306022,-2.880935
31 Dec 2017 00:40:00.000,-6119.101125,2967.468146,1611.203744,-3.664873,-5.769571,-3.132622
31 Dec 2017 00:42:00.000,-6506.315316,2252.158860,1222.822490,-2.779906,-6.135453,-3.331279
31 Dec 2017 00:44:00.000,-6784.465643,1499.093735,813.941488,-1.849636,-6.398029,-3.473846
31 Dec 2017 00:46:00.000,-6949.024654,720.927326,391.431601,-0.889296,-6.553275,-3.558138
31 Dec 2017 00:48:00.000,-6997.318952,-69.302000,-37.627916,0.085481,-6.598822,-3.582868
31 Dec 2017 00:50:00.000,-6928.564681,-858.371970,-466.057953,1.058871,-6.533977,-3.547660
31 Dec 2017 00:52:00.000,-6743.877878,-1633.077971,-886.688992,2.015068,-6.359727,-3.453050
31 Dec 2017 00:54:00.000,-6446.259728,-2380.434457,-1292.470456,2.938494,-6.078733,-3.300483
31 Dec 2017 00:56:00.000,-6040.556670,-3087.874376,-1676.578992,3.814007,-5.695304,-3.092298
31 Dec 2017 00:58:00.000,-5533.395364,-3743.444751,-2032.524664,4.627114,-5.215358,-2.831708
31 Dec 2017 01:00:00.000,-4933.092471,-4335.996386,-2354.253951,5.364177,-4.646362,-2.522769
31 Dec 2017 01:02:00.000,-4249.539350,-4855.365531,-2636.248388,6.012622,-3.997258,-2.170334
31 Dec 2017 01:04:00.000,-3494.061875,-5292.545118,-2873.617537,6.561149,-3.278365,-1.780007
31 Dec 2017 01:06:00.000,-2679.255868,-5639.842974,-3062.184887,6.999925,-2.501256,-1.358071
31 Dec 2017 01:08:00.000,-1818.798975,-5891.024189,-3198.565160,7.320784,-1.678619,-0.911416
31 Dec 2017 01:10:00.000,-927.240269,-6041.434680,-3280.231393,7.517397,-0.824084,-0.447441
31 Dec 2017 01:12:00.000,-19.769455,-6088.102847,-3305.570140,7.585439,0.047972,0.026047
31 Dec 2017 01:14:00.000,888.031826,-6029.816251,-3273.923101,7.522724,0.922647,0.500956
31 Dec 2017 01:16:00.000,1780.453333,-5867.170317,-3185.613564,7.329311,1.784754,0.969042
31 Dec 2017 01:18:00.000,2641.930217,-5602.586368,-3041.956201,7.007571,2.619093,1.422052
31 Dec 2017 01:20:00.000,3457.322885,-5240.296692,-2845.248957,6.562221,3.410731,1.851876
31 Dec 2017 01:22:00.000,4212.197293,-4786.295003,-2598.746152,6.000297,4.145294,2.250711
31 Dec 2017 01:24:00.000,4893.099603,-4248.251375,-2306.612298,5.331081,4.809265,2.611218
31 Dec 2017 01:26:00.000,5487.818743,-3635.391730,-1973.856661,4.565979,5.390277,2.926682
31 Dec 2017 01:28:00.000,5985.630209,-2958.342972,-1606.249178,3.718326,5.877393,3.191164
31 Dec 2017 01:30:00.000,6377.514493,-2228.946014,-1210.218943,2.803158,6.261357,3.399640
31 Dec 2017 01:32:00.000,6656.343935,-1460.040094,-792.737091,1.836920,6.534820,3.548118
31 Dec 2017 01:34:00.000,6817.032402,-665.222845,-361.186536,0.837134,6.692517,3.633740
31 Dec 2017 01:36:00.000,6856.643193,141.408400,76.778496,-0.177962,6.731402,3.654853
