"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6893.152893,0.000000,0.000000,-0.000000,6.699652,3.637614
31 Dec 2017 00:02:00.000,6832.842724,801.612273,435.239952,-1.003679,6.641038,3.605789
31 Dec 2017 00:04:00.000,6652.983266,1589.199943,862.865167,-1.989536,6.466266,3.510896
31 Dec 2017 00:06:00.000,6356.766976,2348.994696,1275.400059,-2.940093,6.178528,3.354667
31 Dec 2017 00:08:00.000,5949.446178,3067.735340,1665.644388,-3.838552,5.783071,3.139951
31 Dec 2017 00:10:00.000,5438.232195,3732.907888,2026.803614,-4.669112,5.287079,2.870650
31 Dec 2017 00:12:00.000,4832.157649,4332.969948,2352.610730,-5.417265,4.699532,2.551638
31 Dec 2017 00:14:00.000,4141.905276,4857.554943,2637.437143,-6.070059,4.031015,2.188663
31 Dec 2017 00:16:00.000,3379.607302,5297.652290,2876.390505,-6.616323,3.293505,1.788227
31 Dec 2017 00:18:00.000,2558.620022,5645.760351,3065.397761,-7.046853,2.500132,1.357461
31 Dec 2017 00:20:00.000,1693.278606,5896.009720,3201.272082,-7.354558,1.664926,0.903981
31 Dec 2017 00:22:00.000,798.637395,6044.255175,3281.762797,-7.534557,0.802549,0.435748
31 Dec 2017 00:24:00.000,-109.798982,6088.135377,3305.587803,-7.584231,-0.071975,-0.039079
31 Dec 2017 00:26:00.000,-1016.348414,6027.100131,3272.448368,-7.503239,-0.943529,-0.512294
31 Dec 2017 00:28:00.000,-1905.422998,5862.405681,3183.026578,-7.293485,-1.797165,-0.975781
31 Dec 2017 00:30:00.000,-2761.794877,5597.079099,3038.965998,-6.959051,-2.618358,-1.421652
31 Dec 2017 00:32:00.000,-3570.851883,5235.853327,2842.836406,-6.506097,-3.393240,-1.842379
31 Dec 2017 00:34:00.000,-4318.839077,4785.074852,2598.083664,-5.942726,-4.108822,-2.230908
31 Dec 2017 00:36:00.000,-4993.082768,4252.586301,2308.965971,-5.278826,-4.753189,-2.580771
31 Dec 2017 00:38:00.000,-5582.194031,3647.586495,1980.477877,-4.525890,-5.315679,-2.886178
