"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6890.862148,105.700391,57.390624,-0.132387,6.699243,3.637392
31 Dec 2017 00:02:00.000,6814.700191,906.337170,492.100887,-1.135096,6.625203,3.597192
31 Dec 2017 00:04:00.000,6619.246160,1691.109127,918.197255,-2.117641,6.435233,3.494046
31 Dec 2017 00:06:00.000,6307.970818,2446.291995,1328.228060,-3.062598,6.132803,3.329840
31 Dec 2017 00:08:00.000,5886.395533,3158.701544,1715.034850,-3.953268,5.723428,3.107568
31 Dec 2017 00:10:00.000,5361.986257,3815.932148,2071.881920,-4.773990,5.214547,2.831268
31 Dec 2017 00:12:00.000,4744.011017,4406.579006,2392.576969,-5.510437,4.615372,2.505942
31 Dec 2017 00:14:00.000,4043.364361,4920.439616,2671.580490,-6.149869,3.936696,2.137451
31 Dec 2017 00:16:00.000,3272.362925,5348.690709,2904.101841,-6.681357,3.190674,1.732395
31 Dec 2017 00:18:00.000,2444.516813,5684.037548,3086.180302,-7.095965,2.390585,1.297981
31 Dec 2017 00:20:00.000,1574.281862,5920.833247,3214.749865,-7.386886,1.550570,0.841891
31 Dec 2017 00:22:00.000,676.798098,6055.166547,3287.686889,-7.549536,0.685370,0.372126
31 Dec 2017 00:24:00.000,-232.380289,6084.917228,3303.840189,-7.581601,-0.189950,-0.103134
31 Dec 2017 00:26:00.000,-1137.558215,6009.779062,3263.043497,-7.483044,-1.060266,-0.575677
31 Dec 2017 00:28:00.000,-2023.171188,5831.250861,3166.110602,-7.256069,-1.910661,-1.037404
31 Dec 2017 00:30:00.000,-2874.050323,5552.596760,3014.813784,-6.905051,-2.726671,-1.480461
31 Dec 2017 00:32:00.000,-3675.676596,5178.777358,2811.846427,-6.436426,-3.494523,-1.897371
31 Dec 2017 00:34:00.000,-4414.420485,4716.353738,2560.770910,-5.858558,-4.201350,-2.281147
31 Dec 2017 00:36:00.000,-5077.763628,4173.366715,2265.953038,-5.181572,-4.835387,-2.625401
31 Dec 2017 00:38:00.000,-5654.499590,3559.193857,1932.484415,-4.417177,-5.386147,-2.924439
31 Dec 2017 00:40:00.000,-6134.911313,2884.387026,1566.094233,-3.578452,-5.844569,-3.173342
31 Dec 2017 00:42:00.000,-6510.923236,2160.493241,1173.052012,-2.679638,-6.203147,-3.368034
31 Dec 2017 00:44:00.000,-6776.226488,1399.861762,760.062853,-1.735900,-6.456032,-3.505339
31 Dec 2017 00:46:00.000,-6926.375917,615.440265,334.156770,-0.763094,-6.599110,-3.583024
31 Dec 2017 00:48:00.000,-6958.858041,-179.436961,-97.426312,0.222482,-6.630058,-3.599827
31 Dec 2017 00:50:00.000,-6873.129333,-971.265943,-527.354331,1.204335,-6.548374,-3.555477
31 Dec 2017 00:52:00.000,-6670.624473,-1746.592161,-948.322082,2.166029,-6.355385,-3.450692
31 Dec 2017 00:54:00.000,-6354.734535,-2492.229052,-1353.169845,3.091436,-6.054224,-3.287175
31 Dec 2017 00:56:00.000,-5930.755267,-3195.472977,-1735.000107,3.964982,-5.649797,-3.067589
31 Dec 2017 00:58:00.000,-5405.805931,-3844.311793,-2087.290808,4.771887,-5.148711,-2.795522
31 Dec 2017 01:00:00.000,-4788.719449,-4427.624110,-2404.003527,5.498408,-4.559188,-2.475437
31 Dec 2017 01:02:00.000,-4089.904886,-4935.366359,-2679.685050,6.132057,-3.890948,-2.112612
31 Dec 2017 01:04:00.000,-3321.183692,-5358.744756,-2909.560742,6.661815,-3.155076,-1.713066
31 Dec 2017 01:06:00.000,-2495.601462,-5690.369324,-3089.618175,7.078330,-2.363856,-1.283469
31 Dec 2017 01:08:00.000,-1627.217420,-5924.387178,-3216.679491,7.374088,-1.530589,-0.831042
31 Dec 2017 01:10:00.000,-730.874261,-6056.592412,-3288.461070,7.543568,-0.669387,-0.363447
31 Dec 2017 01:12:00.000,178.048520,-6084.510123,-3303.619149,7.583362,0.205051,0.111333
31 Dec 2017 01:14:00.000,1083.894241,-6007.452354,-3261.780198,7.492271,1.077682,0.585134
31 Dec 2017 01:16:00.000,1970.997525,-5826.544117,-3163.555049,7.271355,1.933377,1.049738
31 Dec 2017 01:18:00.000,2823.957190,-5544.718060,-3010.535999,6.923957,2.757183,1.497028
31 Dec 2017 01:20:00.000,3627.908693,-5166.676911,-2805.276421,6.455670,3.534596,1.919129
31 Dec 2017 01:22:00.000,4368.790990,-4698.823421,-2551.252725,5.874277,4.251832,2.308556
31 Dec 2017 01:24:00.000,5033.602515,-4149.158213,-2252.808895,5.189631,4.896086,2.658358
31 Dec 2017 01:26:00.000,5610.640936,-3527.146707,-1915.084233,4.413503,5.455790,2.962252
31 Dec 2017 01:28:00.000,6089.721487,-2843.557021,-1543.925351,3.559379,5.920838,3.214753
31 Dec 2017 01:30:00.000,6462.368924,-2110.271548,-1145.783861,2.642221,6.282797,3.411280
31 Dec 2017 01:32:00.000,6721.978655,-1340.075614,-727.601627,1.678196,6.535076,3.548257
31 Dec 2017 01:34:00.000,6863.943177,-546.427310,-296.685796,0.684370,6.673073,3.623183
31 Dec 2017 01:36:00.000,6885.740728,256.786866,139.423879,-0.321617,6.694264,3.634689
31 Dec 2017 01:38:00.000,6786.983975,1055.505463,573.092654,-1.321888,6.598261,3.582563
31 Dec 2017 01:40:00.000,6569.427496,1835.749266,996.730436,-2.298678,6.386821,3.467760
31 Dec 2017 01:42:00.000,6236.933886,2583.876728,1402.930468,-3.234677,6.063805,3.292377
31 Dec 2017 01:44:00.000,5795.399332,3286.832217,1784.604122,-4.113355,5.635098,3.059609
31 Dec 2017 01:46:00.000,5252.640504,3932.381870,2135.108954,-4.919283,5.108489,2.773683
31 Dec 2017 01:48:00.000,4618.245546,4509.332234,2448.367414,-5.638412,4.493499,2.439771
31 Dec 2017 01:50:00.000,3903.392762,5007.727395,2718.973883,-6.258326,3.801197,2.063881
31 Dec 2017 01:52:00.000,3120.641259,5419.020932,2942.288033,-6.768460,3.043967,1.652739
31 Dec 2017 01:54:00.000,2283.698338,5736.219731,3114.512913,-7.160268,2.235271,1.213653
31 Dec 2017 01:56:00.000,1407.168756,5953.997477,3232.756570,-7.427356,1.389383,0.754373
31 Dec 2017 01:58:00.000,506.291182,6068.776379,3295.076424,-7.565563,0.521125,0.282948
31 Dec 2017 02:00:00.000,-403.332837,6078.776472,3300.506031,-7.573006,-0.354406,-0.192427
31 Dec 2017 02:02:00.000,-1306.012179,5984.032508,3249.064260,-7.450071,-1.222106,-0.663549
31 Dec 2017 02:04:00.000,-2186.236765,5786.379115,3141.747234,-7.199379,-2.067122,-1.122356
31 Dec 2017 02:06:00.000,-3028.940871,5489.405470,2980.503716,-6.825699,-2.875105,-1.561055
31 Dec 2017 02:08:00.000,-3819.754908,5098.381170,2768.194863,-6.335842,-3.632436,-1.972252
31 Dec 2017 02:10:00.000,-4545.241928,4620.155414,2508.539486,-5.738516,-4.326440,-2.349065
31 Dec 2017 02:12:00.000,-5193.115560,4063.031864,2206.046108,-5.044160,-4.945580,-2.685231
31 Dec 2017 02:14:00.000,-5752.436569,3436.621801,1865.933225,-4.264754,-5.479627,-2.975195
31 Dec 2017 02:16:00.000,-6213.785681,2751.678304,1494.039283,-3.413614,-5.919803,-3.214190
31 Dec 2017 02:18:00.000,-6569.410753,2019.914308,1096.723887,-2.505173,-6.258905,-3.398308
31 Dec 2017 02:20:00.000,-6813.346756,1253.807414,680.761820,-1.554743,-6.491407,-3.524546
31 Dec 2017 02:22:00.000,-6941.507394,466.394342,253.231444,-0.578283,-6.613527,-3.590852
31 Dec 2017 02:24:00.000,-6951.747521,-328.942056,-178.600947,0.407853,-6.623283,-3.596149
31 Dec 2017 02:26:00.000,-6843.895790,-1118.690356,-607.399248,1.387165,-6.520518,-3.540352
31 Dec 2017 02:28:00.000,-6619.757258,-1889.429803,-1025.876586,2.343255,-6.306899,-3.424366
31 Dec 2017 02:30:00.000,-6283.085921,-2628.048371,-1426.913711,3.260080,-5.985897,-3.250077
31 Dec 2017 02:32:00.000,-5839.527422,-3321.956744,-1803.675183,4.122197,-5.562744,-3.020323
31 Dec 2017 02:34:00.000,-5296.532430,-3959.295359,-2149.721785,4.915004,-5.044357,-2.738862
31 Dec 2017 02:36:00.000,-4663.241489,-4529.131596,-2459.117589,5.624977,-4.439250,-2.410316
31 Dec 2017 02:38:00.000,-3950.342461,-5021.644223,-2726.530103,6.239888,-3.757411,-2.040107
31 Dec 2017 02:40:00.000,-3169.902009,-5428.292204,-2947.321922,6.749017,-3.010162,-1.634384
31 Dec 2017 02:42:00.000,-2335.172991,-5741.965034,-3117.632357,7.143345,-2.209994,-1.199929
31 Dec 2017 02:44:00.000,-1460.380034,-5957.111822,-3234.447521,7.415722,-1.370377,-0.744054
31 Dec 2017 02:46:00.000,-560.486024,-6069.846497,-3295.657450,7.561015,-0.505551,-0.274492
31 Dec 2017 02:48:00.000,349.057291,-6078.026712,-3300.098944,7.576226,0.369701,0.200731
31 Dec 2017 02:50:00.000,1252.570905,-5981.304296,-3247.582962,7.460578,1.240301,0.673429
31 Dec 2017 02:52:00.000,2134.418224,-5781.145465,-3138.905594,7.215560,2.091132,1.135392
