"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6822.806017,106.764714,57.968510,-0.135054,6.765936,3.673603
31 Dec 2017 00:02:00.000,6745.125078,915.272577,496.952463,-1.157592,6.688916,3.631785
31 Dec 2017 00:04:00.000,6545.856242,1707.283964,926.979559,-2.158340,6.491463,3.524577
31 Dec 2017 00:06:00.000,6228.745484,2468.564276,1340.321044,-3.118568,6.177601,3.354163
31 Dec 2017 00:08:00.000,5799.734129,3185.502937,1729.586976,-4.020486,5.753680,3.123994
31 Dec 2017 00:10:00.000,5266.821299,3845.382802,2087.872510,-4.847649,5.228205,2.838684
31 Dec 2017 00:12:00.000,4639.881687,4436.624333,2408.890469,-5.585296,4.611589,2.503889
31 Dec 2017 00:14:00.000,3930.445309,4948.998592,2687.086993,-6.220641,3.915878,2.126148
31 Dec 2017 00:16:00.000,3151.446915,5373.804594,2917.737833,-6.743089,3.154439,1.712720
31 Dec 2017 00:18:00.000,2316.953240,5704.008152,3097.023737,-7.144387,2.341629,1.271401
31 Dec 2017 00:20:00.000,1441.876421,5934.340943,3222.084239,-7.418707,1.492466,0.810343
31 Dec 2017 00:22:00.000,541.681549,6061.360006,3291.049962,-7.562659,0.622303,0.337883
31 Dec 2017 00:24:00.000,-367.904337,6083.469122,3303.054233,-7.575255,-0.253483,-0.137630
31 Dec 2017 00:26:00.000,-1271.175415,6000.904609,3258.225360,-7.457819,-1.119773,-0.607987
31 Dec 2017 00:28:00.000,-2152.717087,5815.688745,3157.661351,-7.213856,-1.961959,-1.065257
31 Dec 2017 00:30:00.000,-2997.658614,5531.554563,3003.389078,-6.848897,-2.766171,-1.501909
31 Dec 2017 00:32:00.000,-3791.905311,5153.845931,2798.310024,-6.370315,-3.519462,-1.910912
31 Dec 2017 00:34:00.000,-4522.348217,4689.396837,2546.134741,-5.787132,-4.209966,-2.285825
31 Dec 2017 00:36:00.000,-5177.050062,4146.393608,2251.308042,-5.109819,-4.827028,-2.620862
31 Dec 2017 00:38:00.000,-5745.407064,3534.223477,1918.926781,-4.350097,-5.361303,-2.910950
31 Dec 2017 00:40:00.000,-6218.286660,2863.312511,1554.651848,-3.520734,-5.804834,-3.151768
31 Dec 2017 00:42:00.000,-6588.141603,2144.955469,1164.615797,-2.635351,-6.151109,-3.339780
31 Dec 2017 00:44:00.000,-6849.101130,1391.139746,755.327254,-1.708238,-6.395100,-3.472256
31 Dec 2017 00:46:00.000,-6997.039911,614.365144,333.573057,-0.754165,-6.533299,-3.547292
31 Dec 2017 00:48:00.000,-7029.625481,-172.539147,-93.681113,0.211786,-6.563727,-3.563813
31 Dec 2017 00:50:00.000,-6946.344684,-956.599194,-519.390984,1.174403,-6.485951,-3.521584
31 Dec 2017 00:52:00.000,-6748.509455,-1724.881670,-936.534334,2.118509,-6.301082,-3.421208
31 Dec 2017 00:54:00.000,-6439.242009,-2464.679002,-1338.211512,3.029139,-6.011768,-3.264124
31 Dec 2017 00:56:00.000,-6023.439266,-3163.693433,-1717.745381,3.891709,-5.622189,-3.052600
31 Dec 2017 00:58:00.000,-5507.716063,-3810.218967,-2068.780105,4.692200,-5.138024,-2.789719
31 Dec 2017 01:00:00.000,-4900.326567,-4393.319966,-2385.378116,5.417341,-4.566425,-2.479367
31 Dec 2017 01:02:00.000,-4211.063154,-4903.004851,-2662.114429,6.054798,-3.915966,-2.126196
31 Dec 2017 01:04:00.000,-3451.132034,-5330.392998,-2894.167259,6.593375,-3.196577,-1.735600
31 Dec 2017 01:06:00.000,-2633.005018,-5667.872492,-3077.403674,7.023208,-2.419456,-1.313657
31 Dec 2017 01:08:00.000,-1770.247116,-5909.245982,-3208.458786,7.335974,-1.596959,-0.867078
31 Dec 2017 01:10:00.000,-877.320093,-6049.861422,-3284.806741,7.525083,-0.742460,-0.403123
31 Dec 2017 01:12:00.000,30.637262,-6086.724151,-3304.821570,7.585872,0.129823,0.070488
31 Dec 2017 01:14:00.000,938.050591,-6018.586481,-3267.825834,7.515771,1.005028,0.545686
31 Dec 2017 01:16:00.000,1829.170664,-5846.010837,-3174.124904,7.314457,1.867891,1.014182
31 Dec 2017 01:18:00.000,2688.349725,-5571.402588,-3025.024790,6.983960,2.703009,1.467614
31 Dec 2017 01:20:00.000,3500.328815,-5199.009031,-2822.831586,6.528737,3.495135,1.897704
31 Dec 2017 01:22:00.000,4250.530253,-4734.881567,-2570.830934,5.955684,4.229502,2.296432
31 Dec 2017 01:24:00.000,4925.348469,-4186.798990,-2273.246375,5.274094,4.892145,2.656218
31 Dec 2017 01:26:00.000,5512.431526,-3564.150928,-1935.176061,4.495543,5.470234,2.970095
31 Dec 2017 01:28:00.000,6000.945196,-2877.781895,-1562.508083,3.633714,5.952404,3.231892
31 Dec 2017 01:30:00.000,6381.811253,-2139.797872,-1161.815451,2.704145,6.329044,3.436390
31 Dec 2017 01:32:00.000,6647.911949,-1363.339018,-740.232691,1.723915,6.592567,3.579472
31 Dec 2017 01:34:00.000,6794.253428,-562.323627,-305.316819,0.711276,6.737623,3.658231
31 Dec 2017 01:36:00.000,6818.081979,248.830114,135.103728,-0.314759,6.761251,3.671060
31 Dec 2017 01:38:00.000,6718.948728,1055.496898,573.088056,-1.334864,6.662968,3.617697
31 Dec 2017 01:40:00.000,6498.720211,1843.143136,1000.745071,-2.329851,6.444782,3.499231
31 Dec 2017 01:42:00.000,6161.534447,2597.623110,1410.394273,-3.281124,6.111134,3.318075
31 Dec 2017 01:44:00.000,5713.704209,3305.463796,1794.720408,-4.171101,5.668768,3.077890
31 Dec 2017 01:46:00.000,5163.571220,3954.130348,2146.917609,-4.983609,5.126538,2.783483
31 Dec 2017 01:48:00.000,4521.316763,4532.265201,2460.819223,-5.704214,4.495167,2.440677
31 Dec 2017 01:50:00.000,3798.735553,5029.895113,2731.010219,-6.320499,3.786954,2.056149
31 Dec 2017 01:52:00.000,3008.980654,5438.601927,2952.919914,-6.822270,3.015464,1.637263
31 Dec 2017 01:54:00.000,2166.287730,5751.654510,3122.893598,-7.201696,2.195194,1.191893
31 Dec 2017 01:56:00.000,1285.686864,5964.100840,3238.242544,-7.453373,1.341243,0.728235
31 Dec 2017 01:58:00.000,382.709859,6072.820687,3297.272604,-7.574339,0.468989,0.254640
31 Dec 2017 02:00:00.000,-526.899825,6076.540567,3299.292334,-7.564016,-0.406215,-0.220557
31 Dec 2017 02:02:00.000,-1427.468290,5975.813611,3244.602060,-7.424122,-1.269323,-0.689186
31 Dec 2017 02:04:00.000,-2303.658431,5772.967712,3134.465723,-7.158528,-2.105840,-1.143378
31 Dec 2017 02:06:00.000,-3140.719194,5472.025695,2971.067539,-6.773100,-2.902045,-1.575682
31 Dec 2017 02:08:00.000,-3924.713946,5078.601486,2757.455623,-6.275514,-3.645170,-1.979166
31 Dec 2017 02:10:00.000,-4642.726062,4599.776148,2497.474677,-5.675062,-4.323553,-2.347498
31 Dec 2017 02:12:00.000,-5283.040671,4043.957471,2195.689758,-4.982447,-4.926762,-2.675013
31 Dec 2017 02:14:00.000,-5835.302231,3420.726474,1857.302936,-4.209588,-5.445689,-2.956768
31 Dec 2017 02:16:00.000,-6290.648074,2740.673746,1488.064432,-3.369415,-5.872626,-3.188576
31 Dec 2017 02:18:00.000,-6641.818442,2015.228127,1094.179598,-2.475680,-6.201318,-3.367041
31 Dec 2017 02:20:00.000,-6883.243713,1256.479805,682.212872,-1.542771,-6.427003,-3.489578
31 Dec 2017 02:22:00.000,-7011.109534,476.999506,258.989601,-0.585524,-6.546438,-3.554426
31 Dec 2017 02:24:00.000,-7023.400550,-310.344881,-168.503521,0.380943,-6.557915,-3.560657
31 Dec 2017 02:26:00.000,-6919.923212,-1092.573145,-593.218816,1.341412,-6.461271,-3.508184
31 Dec 2017 02:28:00.000,-6702.307958,-1856.778125,-1008.148265,2.280731,-6.257885,-3.397755
31 Dec 2017 02:30:00.000,-6373.990792,-2590.310732,-1406.423975,3.183988,-5.950678,-3.230955
31 Dec 2017 02:32:00.000,-5940.174024,-3280.963727,-1781.417955,4.036686,-5.544091,-3.010196
31 Dec 2017 02:34:00.000,-5407.765723,-3917.153171,-2126.840640,4.824922,-5.044066,-2.738704
31 Dec 2017 02:36:00.000,-4785.297236,-4488.096289,-2436.837460,5.535577,-4.458006,-2.420500
31 Dec 2017 02:38:00.000,-4082.818050,-4983.984127,-2706.082588,6.156501,-3.794728,-2.060369
31 Dec 2017 02:40:00.000,-3311.767272,-5396.147031,-2929.868786,6.676715,-3.064391,-1.663829
31 Dec 2017 02:42:00.000,-2484.821188,-5717.210529,-3104.192042,7.086613,-2.278405,-1.237073
31 Dec 2017 02:44:00.000,-1615.716620,-5941.238783,-3225.829459,7.378159,-1.449315,-0.786914
31 Dec 2017 02:46:00.000,-719.050334,-6063.862331,-3292.408614,7.545088,-0.590656,-0.320700
31 Dec 2017 02:48:00.000,189.944627,-6082.386513,-3302.466424,7.583091,0.283226,0.153779
31 Dec 2017 02:50:00.000,1095.643983,-5995.876712,-3255.495435,7.489982,1.157381,0.628407
31 Dec 2017 02:52:00.000,1982.295936,-5805.216464,-3151.975366,7.265843,2.016499,1.094870
31 Dec 2017 02:54:00.000,2834.299809,-5513.134608,-2993.387858,6.913124,2.845183,1.544808
31 Dec 2017 02:56:00.000,3636.494725,-5124.198023,-2782.212523,6.436711,3.628248,1.969978
31 Dec 2017 02:58:00.000,4374.452313,-4644.767113,-2521.902778,5.843924,4.351041,2.362423
31 Dec 2017 03:00:00.000,5034.766486,-4082.912155,-2216.840426,5.144464,4.999773,2.714655
31 Dec 2017 03:02:00.000,5605.332507,-3448.289780,-1872.268590,4.350294,5.561849,3.019838
31 Dec 2017 03:04:00.000,6075.607151,-2751.980269,-1494.203373,3.475438,6.026188,3.271953
31 Dec 2017 03:06:00.000,6436.841640,-2006.287913,-1089.325458,2.535731,6.383516,3.465966
31 Dec 2017 03:08:00.000,6682.279438,-1224.508271,-664.853746,1.548483,6.626624,3.597964
31 Dec 2017 03:10:00.000,6807.311793,-420.667738,-228.403947,0.532113,6.750571,3.665261
31 Dec 2017 03:12:00.000,6809.585248,390.757828,212.164189,-0.494282,6.752826,3.666485
31 Dec 2017 03:14:00.000,6689.056975,1195.137559,648.906748,-1.511364,6.633341,3.601611
31 Dec 2017 03:16:00.000,6447.995786,1977.984586,1073.958004,-2.500020,6.394559,3.471962
31 Dec 2017 03:18:00.000,6090.928773,2725.250816,1479.690462,-3.441798,6.041332,3.280176
31 Dec 2017 03:20:00.000,5624.535672,3423.608927,1858.867979,-4.319339,5.580791,3.030122
31 Dec 2017 03:22:00.000,5057.494989,4060.713711,2204.787653,-5.116750,5.022137,2.726798
31 Dec 2017 03:24:00.000,4400.287655,4625.435933,2511.406802,-5.819931,4.376388,2.376185
31 Dec 2017 03:26:00.000,3664.965241,5108.063278,2773.452070,-6.416844,3.656090,1.985095
31 Dec 2017 03:28:00.000,2864.890665,5500.464468,2986.508532,-6.897698,2.874994,1.560994
31 Dec 2017 03:30:00.000,2014.459667,5796.214242,3147.087558,-7.255085,2.047726,1.111825
31 Dec 2017 03:32:00.000,1128.811291,5990.678486,3252.673028,-7.484029,1.189458,0.645823
31 Dec 2017 03:34:00.000,223.535153,6081.060155,3301.746270,-7.581991,0.315585,0.171349
31 Dec 2017 03:36:00.000,-685.617496,6066.407872,3293.790730,-7.548803,-0.558576,-0.303282
31 Dec 2017 03:38:00.000,-1583.012875,5947.589989,3229.277883,-7.386569,-1.418056,-0.769942
31 Dec 2017 03:40:00.000,-2453.399019,5727.237551,3109.636271,-7.099524,-2.248484,-1.220827
31 Dec 2017 03:42:00.000,-3282.151560,5409.659990,2937.205725,-6.693863,-3.036291,-1.648571
31 Dec 2017 03:44:00.000,-4055.498216,5000.737483,2715.178919,-6.177559,-3.768892,-2.046342
31 Dec 2017 03:46:00.000,-4760.720265,4507.793854,2447.532366,-5.560166,-4.434834,-2.407919
31 Dec 2017 03:48:00.000,-5386.330065,3939.453651,2138.948814,-4.852614,-5.023910,-2.727761
31 Dec 2017 03:50:00.000,-5922.224402,3305.486656,1794.732821,-4.067014,-5.527252,-3.001053
31 Dec 2017 03:52:00.000,-6359.813873,2616.642729,1420.721084,-3.216453,-5.937403,-3.223747
31 Dec 2017 03:54:00.000,-6692.128881,1884.479364,1023.188813,-2.314808,-6.248367,-3.392587
31 Dec 2017 03:56:00.000,-6913.902934,1121.184002,608.753246,-1.376557,-6.455646,-3.505130
31 Dec 2017 03:58:00.000,-7021.633998,339.392674,184.275188,-0.416600,-6.556265,-3.559762
