"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6892.108726,105.702436,57.391740,-0.132353,6.698638,3.637063
31 Dec 2017 00:02:00.000,6815.972495,906.268520,492.063658,-1.134703,6.624643,3.596888
31 Dec 2017 00:04:00.000,6620.586523,1690.979573,918.126997,-2.116905,6.434790,3.493806
31 Dec 2017 00:06:00.000,6309.418488,2446.119816,1328.134696,-3.061553,6.132547,3.329701
31 Dec 2017 00:08:00.000,5887.984872,3158.512884,1714.932573,-3.951961,5.723420,3.107563
31 Dec 2017 00:10:00.000,5363.745090,3815.760120,2071.788706,-4.772483,5.214841,2.831428
31 Dec 2017 00:12:00.000,4745.959181,4406.462553,2392.513958,-5.508802,4.616011,2.506290
31 Dec 2017 00:14:00.000,4045.512504,4920.422168,2671.571261,-6.148185,3.937711,2.138003
31 Dec 2017 00:16:00.000,3274.711578,5348.818669,2904.171583,-6.679713,3.192084,1.733160
31 Dec 2017 00:18:00.000,2447.055772,5684.358651,3086.354928,-7.094452,2.392393,1.298964
31 Dec 2017 00:20:00.000,1576.989894,5921.394851,3215.055084,-7.385596,1.552767,0.843084
31 Dec 2017 00:22:00.000,679.642981,6056.013890,3288.147258,-7.548560,0.687930,0.373516
31 Dec 2017 00:24:00.000,-229.441399,6086.091703,3304.478179,-7.581024,-0.187065,-0.101568
31 Dec 2017 00:26:00.000,-1134.578089,6011.316563,3263.878590,-7.482946,-1.057110,-0.573964
31 Dec 2017 00:28:00.000,-2020.211525,5833.180231,3167.158453,-7.256519,-1.907298,-1.035578
31 Dec 2017 00:30:00.000,-2871.180475,5554.938394,3016.085462,-6.906107,-2.723177,-1.478564
31 Dec 2017 00:32:00.000,-3672.972035,5181.541987,2813.347755,-6.438131,-3.490982,-1.895449
31 Dec 2017 00:34:00.000,-4411.961056,4719.541429,2562.501919,-5.860941,-4.197855,-2.279249
31 Dec 2017 00:36:00.000,-5075.631624,4176.966111,2267.907557,-5.184646,-4.832036,-2.623582
31 Dec 2017 00:38:00.000,-5652.777691,3563.181682,1934.649803,-4.420935,-5.383041,-2.922753
31 Dec 2017 00:40:00.000,-6133.680435,2888.727860,1568.451256,-3.582871,-5.841809,-3.171843
31 Dec 2017 00:42:00.000,-6510.260331,2165.139589,1175.574881,-2.684676,-6.200832,-3.366777
31 Dec 2017 00:44:00.000,-6776.202342,1404.754410,762.719414,-1.741496,-6.454257,-3.504376
31 Dec 2017 00:46:00.000,-6927.052997,620.508932,336.908862,-0.769171,-6.597965,-3.582403
31 Dec 2017 00:48:00.000,-6960.288436,-174.272691,-94.622351,0.216020,-6.629622,-3.599591
31 Dec 2017 00:50:00.000,-6875.352824,-966.095404,-524.547006,1.197598,-6.548716,-3.555663
31 Dec 2017 00:52:00.000,-6673.666798,-1741.512132,-945.563938,2.159141,-6.356559,-3.451330
31 Dec 2017 00:54:00.000,-6358.605869,-2487.342036,-1350.516535,3.084532,-6.056271,-3.288287
31 Dec 2017 00:56:00.000,-5935.448972,-3190.885268,-1732.509343,3.958205,-5.652740,-3.069187
31 Dec 2017 00:58:00.000,-5411.297616,-3840.131351,-2085.021204,4.765390,-5.152555,-2.797609
31 Dec 2017 01:00:00.000,-4794.966361,-4423.958282,-2402.013364,5.492344,-4.563917,-2.478005
31 Dec 2017 01:02:00.000,-4096.845678,-4932.319489,-2678.030979,6.126581,-3.896527,-2.115642
31 Dec 2017 01:04:00.000,-3328.738586,-5356.415724,-2908.296446,6.657080,-3.161450,-1.716527
31 Dec 2017 01:06:00.000,-2503.672826,-5688.849063,-3088.793023,7.074481,-2.370947,-1.287319
31 Dec 2017 01:08:00.000,-1635.690769,-5923.756229,-3216.337208,7.371259,-1.538301,-0.835229
31 Dec 2017 01:10:00.000,-739.619697,-6056.918561,-3288.638455,7.541881,-0.677605,-0.367909
31 Dec 2017 01:12:00.000,169.174453,-6085.846188,-3304.344875,7.582921,0.196461,0.106669
31 Dec 2017 01:14:00.000,1075.046289,-6009.834184,-3263.073724,7.493159,1.068869,0.580348
31 Dec 2017 01:16:00.000,1962.339076,-5829.988845,-3165.425672,7.273633,1.924503,1.044920
31 Dec 2017 01:18:00.000,2815.657291,-5549.222689,-3012.982088,6.927658,2.748421,1.492271
31 Dec 2017 01:20:00.000,3620.138771,-5172.217272,-2808.284847,6.460800,3.526126,1.914530
31 Dec 2017 01:22:00.000,4361.721350,-4705.353545,-2554.798526,5.880812,4.243836,2.304215
31 Dec 2017 01:24:00.000,5027.398679,-4156.610176,-2256.855186,5.197515,4.888748,2.654373
31 Dec 2017 01:26:00.000,5605.459915,-3535.430947,-1919.582384,4.422650,5.449286,2.958721
31 Dec 2017 01:28:00.000,6085.708056,-2852.563169,-1548.815432,3.569670,5.915338,3.211766
31 Dec 2017 01:30:00.000,6459.652015,-2119.869761,-1150.995370,2.653511,6.278454,3.408923
31 Dec 2017 01:32:00.000,6720.667938,-1350.118405,-733.054484,1.690311,6.532031,3.546603
31 Dec 2017 01:34:00.000,6864.125937,-556.751848,-302.291590,0.697111,6.671441,3.622297
31 Dec 2017 01:36:00.000,6887.479124,246.356023,133.760407,-0.308469,6.694138,3.634620
31 Dec 2017 01:38:00.000,6790.312745,1045.153260,567.471919,-1.308570,6.599707,3.583348
31 Dec 2017 01:40:00.000,6574.352198,1825.666723,991.256152,-2.285440,6.389873,3.469418
31 Dec 2017 01:42:00.000,6243.429717,2574.257275,1397.707659,-3.221773,6.068468,3.294909
31 Dec 2017 01:44:00.000,5803.410565,3277.867867,1779.737041,-4.101045,5.641346,3.063001
31 Dec 2017 01:46:00.000,5262.080574,3924.259323,2130.698966,-4.907821,5.116259,2.777902
31 Dec 2017 01:48:00.000,4628.997791,4502.228991,2444.510891,-5.628044,4.502700,2.444766
31 Dec 2017 01:50:00.000,3915.311803,5001.807979,2715.760150,-6.249284,3.811704,2.069586
31 Dec 2017 01:52:00.000,3133.555005,5414.433290,2939.797414,-6.760957,3.055629,1.659071
31 Dec 2017 01:54:00.000,2297.410564,5733.091908,3112.814928,-7.154492,2.247908,1.220514
31 Dec 2017 01:56:00.000,1421.462217,5952.434623,3231.908305,-7.423469,1.402793,0.761654
31 Dec 2017 01:58:00.000,520.931184,6068.858153,3295.121124,-7.563694,0.535086,0.290528
31 Dec 2017 02:00:00.000,-388.594465,6080.554895,3301.471937,-7.573249,-0.340131,-0.184676
31 Dec 2017 02:02:00.000,-1291.432802,5987.530309,3250.963708,-7.452485,-1.207767,-0.655764
31 Dec 2017 02:04:00.000,-2172.078420,5791.588598,3144.576039,-7.203982,-2.052976,-1.114675
31 Dec 2017 02:06:00.000,-3015.465589,5496.287917,2984.240851,-6.832473,-2.861412,-1.553620
31 Dec 2017 02:08:00.000,-3807.219969,5106.866802,2772.802437,-6.344727,-3.619452,-1.965202
31 Dec 2017 02:10:00.000,-4533.895124,4630.143899,2513.963020,-5.749414,-4.314417,-2.342537
31 Dec 2017 02:12:00.000,-5183.190548,4074.393371,2212.215104,-5.056933,-4.934758,-2.679355
31 Dec 2017 02:14:00.000,-5744.148389,3449.198580,1872.762029,-4.279230,-5.470231,-2.970093
31 Dec 2017 02:16:00.000,-6207.326509,2765.286777,1501.428217,-3.429585,-5.912037,-3.209974
31 Dec 2017 02:18:00.000,-6564.945964,2034.347637,1104.560645,-2.522400,-6.252952,-3.395076
31 Dec 2017 02:20:00.000,-6811.011346,1268.838512,688.923102,-1.572959,-6.487421,-3.522382
31 Dec 2017 02:22:00.000,-6941.402841,481.779294,261.584815,-0.597198,-6.611633,-3.589824
31 Dec 2017 02:24:00.000,-6953.939121,-313.460206,-170.195005,0.388551,-6.623574,-3.596307
31 Dec 2017 02:26:00.000,-6848.410531,-1103.377511,-599.085108,1.367803,-6.523050,-3.541727
31 Dec 2017 02:28:00.000,-6626.582274,-1874.556449,-1017.801107,2.324170,-6.311691,-3.426969
31 Dec 2017 02:30:00.000,-6292.167569,-2613.885006,-1419.223761,3.241613,-5.992931,-3.253896
31 Dec 2017 02:32:00.000,-5850.771013,-3308.769176,-1796.515082,4.104689,-5.571960,-3.025327
31 Dec 2017 02:34:00.000,-5309.802652,-3947.339920,-2143.230707,4.898790,-5.055656,-2.744997
31 Dec 2017 02:36:00.000,-4678.363537,-4518.650359,-2453.426966,5.610380,-4.452494,-2.417507
31 Dec 2017 02:38:00.000,-3967.103888,-5012.860298,-2721.761070,6.227211,-3.772422,-2.048258
31 Dec 2017 02:40:00.000,-3188.055307,-5421.405191,-2943.582848,6.738540,-3.026727,-1.643379
31 Dec 2017 02:42:00.000,-2354.438882,-5737.146725,-3115.016513,7.135317,-2.227864,-1.209631
31 Dec 2017 02:44:00.000,-1480.451463,-5954.502235,-3233.030927,7.410356,-1.389271,-0.754313
31 Dec 2017 02:46:00.000,-581.032805,-6069.550339,-3295.496950,7.558483,-0.525162,-0.285140
31 Dec 2017 02:48:00.000,328.383221,-6080.110350,-3301.230568,7.576654,0.349705,0.189874
31 Dec 2017 02:50:00.000,1232.129696,-5985.793330,-3250.020605,7.464040,1.220267,0.662551
31 Dec 2017 02:52:00.000,2114.575874,-5788.022979,-3142.640066,7.222078,2.071419,1.124689
31 Dec 2017 02:54:00.000,2960.400026,-5490.025051,-2980.840392,6.854480,2.888279,1.568207
31 Dec 2017 02:56:00.000,3754.860998,-5096.784486,-2767.328187,6.367201,3.656454,1.985292
31 Dec 2017 02:58:00.000,4484.063341,-4614.970119,-2505.724330,5.768365,4.362315,2.368544
31 Dec 2017 03:00:00.000,5135.210690,-4052.827474,-2200.505777,5.068143,4.993256,2.711117
31 Dec 2017 03:02:00.000,5696.842084,-3420.040940,-1856.930722,4.278589,5.537942,3.006857
31 Dec 2017 03:04:00.000,6159.046056,-2727.567354,-1480.948241,3.413435,5.986537,3.250424
31 Dec 2017 03:06:00.000,6513.647622,-1987.443805,-1079.093942,2.487848,6.330903,3.437400
31 Dec 2017 03:08:00.000,6754.363812,-1212.573180,-658.373520,1.518146,6.564773,3.564381
31 Dec 2017 03:10:00.000,6876.923999,-416.491625,-226.136503,0.521496,6.683879,3.629050
31 Dec 2017 03:12:00.000,6879.152085,386.877358,210.057266,-0.484416,6.686045,3.630226
31 Dec 2017 03:14:00.000,6761.008499,1183.477046,642.575607,-1.481725,6.571230,3.567887
31 Dec 2017 03:16:00.000,6524.590962,1959.374468,1063.853534,-2.452731,6.341533,3.443172
31 Dec 2017 03:18:00.000,6174.093996,2701.014739,1466.531346,-3.380243,6.001146,3.258357
31 Dec 2017 03:20:00.000,5715.728195,3395.467365,1843.588358,-4.247905,5.556266,3.016806
31 Dec 2017 03:22:00.000,5157.601256,4030.659358,2188.469470,-5.040504,5.014962,2.722902
31 Dec 2017 03:24:00.000,4509.563684,4595.590436,2495.202019,-5.744249,4.387012,2.381953
31 Dec 2017 03:26:00.000,3783.022893,5080.526110,2758.500607,-6.347021,3.683700,2.000086
31 Dec 2017 03:28:00.000,2990.730028,5477.165105,2973.858011,-6.838576,2.917589,1.584121
