"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6892.104560,105.762176,57.424171,-0.132428,6.698638,3.637063
31 Dec 2017 00:02:00.000,6815.959328,906.327786,492.095792,-1.134777,6.624634,3.596883
31 Dec 2017 00:04:00.000,6620.564433,1691.037307,918.158260,-2.116978,6.434773,3.493796
31 Dec 2017 00:06:00.000,6309.387716,2446.174973,1328.164522,-3.061623,6.132521,3.329687
31 Dec 2017 00:08:00.000,5887.945820,3158.564446,1714.960412,-3.952028,5.723386,3.107545
31 Dec 2017 00:10:00.000,5363.698314,3815.807120,2071.814035,-4.772545,5.214799,2.831405
31 Dec 2017 00:12:00.000,4745.905385,4406.504092,2392.536294,-5.508857,4.615962,2.506263
31 Dec 2017 00:14:00.000,4045.452526,4920.457431,2671.590163,-6.148233,3.937656,2.137972
31 Dec 2017 00:16:00.000,3274.646380,5348.846942,2904.186669,-6.679752,3.192023,1.733127
31 Dec 2017 00:18:00.000,2446.986419,5684.379337,3086.365878,-7.094482,2.392328,1.298928
31 Dec 2017 00:20:00.000,1576.917540,5921.407478,3215.061647,-7.385616,1.552698,0.843046
31 Dec 2017 00:22:00.000,679.568846,6056.018122,3288.149256,-7.548569,0.687859,0.373477
31 Dec 2017 00:24:00.000,-229.516049,6086.087350,3304.475513,-7.581023,-0.187137,-0.101607
31 Dec 2017 00:26:00.000,-1134.651963,6011.303579,3263.871242,-7.482934,-1.057181,-0.574003
31 Dec 2017 00:28:00.000,-2020.283331,5833.158723,3167.146486,-7.256496,-1.907368,-1.035616
31 Dec 2017 00:30:00.000,-2871.248941,5554.908617,3016.069019,-6.906074,-2.723244,-1.478601
31 Dec 2017 00:32:00.000,-3673.035932,5181.504341,2813.327058,-6.438088,-3.491046,-1.895483
31 Dec 2017 00:34:00.000,-4412.019219,4719.496456,2562.477266,-5.860889,-4.197914,-2.279281
31 Dec 2017 00:36:00.000,-5075.682971,4176.914485,2267.879320,-5.184585,-4.832089,-2.623610
31 Dec 2017 00:38:00.000,-5652.821246,3563.124199,1934.618416,-4.420867,-5.383086,-2.922777
31 Dec 2017 00:40:00.000,-6133.715340,2888.665426,1568.417214,-3.582796,-5.841846,-3.171863
31 Dec 2017 00:42:00.000,-6510.285865,2165.073206,1175.538730,-2.684595,-6.200861,-3.366792
31 Dec 2017 00:44:00.000,-6776.217936,1404.685161,762.681745,-1.741412,-6.454277,-3.504386
31 Dec 2017 00:46:00.000,-6927.058240,620.437963,336.870298,-0.769083,-6.597974,-3.582407
31 Dec 2017 00:48:00.000,-6960.283090,-174.344189,-94.661162,0.216109,-6.629621,-3.599590
31 Dec 2017 00:50:00.000,-6875.336825,-966.166212,-524.585404,1.197686,-6.548705,-3.555657
31 Dec 2017 00:52:00.000,-6673.640263,-1741.581026,-945.601258,2.159228,-6.356538,-3.451318
31 Dec 2017 00:54:00.000,-6358.569095,-2487.407806,-1350.552122,3.084615,-6.056240,-3.288270
31 Dec 2017 00:56:00.000,-5935.402437,-3190.946739,-1732.542560,3.958284,-5.652700,-3.069165
31 Dec 2017 00:58:00.000,-5411.241972,-3840.187399,-2085.051445,4.765462,-5.152505,-2.797582
31 Dec 2017 01:00:00.000,-4794.902424,-4424.007862,-2402.040064,5.492409,-4.563859,-2.477973
31 Dec 2017 01:02:00.000,-4096.774423,-4932.361646,-2678.053624,6.126638,-3.896462,-2.115606
31 Dec 2017 01:04:00.000,-3328.661128,-5356.449615,-2908.314583,6.657127,-3.161378,-1.716488
31 Dec 2017 01:06:00.000,-2503.590407,-5688.873976,-3088.806268,7.074516,-2.370870,-1.287277
31 Dec 2017 01:08:00.000,-1635.604740,-5923.771592,-3216.345255,7.371284,-1.538220,-0.835185
31 Dec 2017 01:10:00.000,-739.531493,-6056.923959,-3288.641086,7.541893,-0.677521,-0.367864
31 Dec 2017 01:12:00.000,169.263333,-6085.841375,-3304.341960,7.582920,0.196546,0.106716
31 Dec 2017 01:14:00.000,1075.134307,-6009.819084,-3263.065228,7.493146,1.068954,0.580395
31 Dec 2017 01:16:00.000,1962.424685,-5829.963565,-3165.411657,7.273607,1.924587,1.044965
31 Dec 2017 01:18:00.000,2815.738958,-5549.187518,-3012.962716,6.927619,2.748502,1.492315
31 Dec 2017 01:20:00.000,3620.215007,-5172.172676,-2808.260378,6.460749,3.526202,1.914571
31 Dec 2017 01:22:00.000,4361.790738,-4705.300168,-2554.769312,5.880749,4.243906,2.304253
31 Dec 2017 01:24:00.000,5027.459903,-4156.548827,-2256.821671,5.197442,4.888810,2.654407
31 Dec 2017 01:26:00.000,5605.511781,-3535.362592,-1919.545095,4.422567,5.449340,2.958750
31 Dec 2017 01:28:00.000,6085.749521,-2852.488914,-1548.774973,3.569580,5.915382,3.211790
31 Dec 2017 01:30:00.000,6459.682206,-2119.790832,-1150.952410,2.653414,6.278488,3.408940
31 Dec 2017 01:32:00.000,6720.686173,-1350.036132,-733.009746,1.690209,6.532053,3.546615
31 Dec 2017 01:34:00.000,6864.131740,-556.667638,-302.245840,0.697006,6.671451,3.622302
31 Dec 2017 01:36:00.000,6887.472234,246.440710,133.806375,-0.308575,6.694136,3.634619
31 Dec 2017 01:38:00.000,6790.293128,1045.236936,567.517299,-1.308676,6.599692,3.583340
31 Dec 2017 01:40:00.000,6574.320047,1825.747900,991.300138,-2.285543,6.389846,3.469403
31 Dec 2017 01:42:00.000,6243.385453,2574.334495,1397.749459,-3.221872,6.068429,3.294888
31 Dec 2017 01:44:00.000,5803.354829,3277.939728,1779.775895,-4.101137,5.641295,3.062973
31 Dec 2017 01:46:00.000,5262.014220,3924.324502,2130.734160,-4.907906,5.116198,2.777868
31 Dec 2017 01:48:00.000,4628.921869,4502.286272,2444.541769,-5.628119,4.502629,2.444728
31 Dec 2017 01:50:00.000,3915.227544,5001.856275,2715.786125,-6.249348,3.811625,2.069543
31 Dec 2017 01:52:00.000,3133.463797,5414.471665,2939.817982,-6.761008,3.055542,1.659024
31 Dec 2017 01:54:00.000,2297.313931,5733.119593,3112.829675,-7.154531,2.247816,1.220464
31 Dec 2017 01:56:00.000,1421.361789,5952.451029,3231.916918,-7.423493,1.402697,0.761602
31 Dec 2017 01:58:00.000,520.828672,6068.862886,3295.123393,-7.563704,0.534988,0.290475
31 Dec 2017 02:00:00.000,-388.697303,6080.547762,3301.467763,-7.573244,-0.340230,-0.184730
31 Dec 2017 02:02:00.000,-1291.534187,5987.511319,3250.953100,-7.452465,-1.207865,-0.655817
31 Dec 2017 02:04:00.000,-2172.176586,5791.557967,3144.559121,-7.203948,-2.053072,-1.114727
31 Dec 2017 02:06:00.000,-3015.558811,5496.246063,2984.217854,-6.832425,-2.861503,-1.553669
31 Dec 2017 02:08:00.000,-3807.306595,5106.814338,2772.773699,-6.344666,-3.619538,-1.965248
31 Dec 2017 02:10:00.000,-4533.973601,4630.081626,2513.928980,-5.749340,-4.314495,-2.342579
31 Dec 2017 02:12:00.000,-5183.259449,4074.322264,2212.176294,-5.056848,-4.934828,-2.679392
31 Dec 2017 02:14:00.000,-5744.206439,3449.119771,1872.719068,-4.279134,-5.470290,-2.970125
31 Dec 2017 02:16:00.000,-6207.372606,2765.201539,1501.381800,-3.429481,-5.912085,-3.210000
31 Dec 2017 02:18:00.000,-6564.979198,2034.257364,1104.511530,-2.522289,-6.252988,-3.395095
31 Dec 2017 02:20:00.000,-6811.031016,1268.744694,688.872101,-1.572844,-6.487444,-3.522394
31 Dec 2017 02:22:00.000,-6941.408469,481.683500,261.532779,-0.597079,-6.611643,-3.589829
31 Dec 2017 02:24:00.000,-6953.930461,-313.556362,-170.247197,0.388671,-6.623571,-3.596305
31 Dec 2017 02:26:00.000,-6848.387575,-1103.472388,-599.136567,1.367921,-6.523033,-3.541717
31 Dec 2017 02:28:00.000,-6626.545256,-1874.648410,-1017.850945,2.324285,-6.311660,-3.426952
31 Dec 2017 02:30:00.000,-6292.116964,-2613.972446,-1419.271108,3.241723,-5.992887,-3.253872
31 Dec 2017 02:32:00.000,-5850.707531,-3308.850546,-1796.559098,4.104793,-5.571903,-3.025296
31 Dec 2017 02:34:00.000,-5309.727231,-3947.413754,-2143.270600,4.898885,-5.055588,-2.744960
31 Dec 2017 02:36:00.000,-4678.277331,-4518.715303,-2453.462004,5.610464,-4.452414,-2.417464
31 Dec 2017 02:38:00.000,-3967.008250,-5012.915128,-2721.790591,6.227283,-3.772333,-2.048210
31 Dec 2017 02:40:00.000,-3187.951768,-5421.448842,-2943.606279,6.738599,-3.026630,-1.643326
31 Dec 2017 02:42:00.000,-2354.329133,-5737.178308,-3115.033377,7.135361,-2.227760,-1.209575
31 Dec 2017 02:44:00.000,-1480.337324,-5954.521058,-3233.040851,7.410385,-1.389162,-0.754253
31 Dec 2017 02:46:00.000,-580.916198,-6069.555920,-3295.499680,7.558495,-0.525050,-0.285079
31 Dec 2017 02:48:00.000,328.500304,-6080.102432,-3301.225968,7.576649,0.349818,0.189935
31 Dec 2017 02:50:00.000,1232.245227,-5985.771886,-3250.008665,7.464019,1.220379,0.662612
31 Dec 2017 02:52:00.000,2114.687824,-5787.988220,-3142.620907,7.222040,2.071529,1.124748
31 Dec 2017 02:54:00.000,2960.506399,-5489.977424,-2980.814261,6.854426,2.888383,1.568264
31 Dec 2017 02:56:00.000,3754.959870,-5096.724672,-2767.295458,6.367131,3.656552,1.985345
31 Dec 2017 02:58:00.000,4484.152894,-4614.899022,-2505.685499,5.768280,4.362404,2.368592
31 Dec 2017 03:00:00.000,5135.289249,-4052.746212,-2200.461455,5.068045,4.993335,2.711160
31 Dec 2017 03:02:00.000,5696.908149,-3419.950825,-1856.881624,4.278479,5.538010,3.006894
31 Dec 2017 03:04:00.000,6159.098329,-2727.469873,-1480.895178,3.413315,5.986591,3.250454
31 Dec 2017 03:06:00.000,6513.685037,-1987.340593,-1079.037804,2.487720,6.330943,3.437422
31 Dec 2017 03:08:00.000,6754.385558,-1212.465994,-658.315263,1.518013,6.564799,3.564394
31 Dec 2017 03:10:00.000,6876.929536,-416.382310,-226.077129,0.521359,6.683889,3.629055
31 Dec 2017 03:12:00.000,6879.141158,386.986898,210.116722,-0.484554,6.686039,3.630222
31 Dec 2017 03:14:00.000,6760.981144,1183.584886,642.634100,-1.481860,6.571208,3.567874
31 Dec 2017 03:16:00.000,6524.547510,1959.478695,1063.910028,-2.452863,6.341495,3.443151
31 Dec 2017 03:18:00.000,6174.035070,2701.113491,1466.584830,-3.380369,6.001093,3.258328
31 Dec 2017 03:20:00.000,5715.654698,3395.558860,1843.637867,-4.248022,5.556198,3.016769
31 Dec 2017 03:22:00.000,5157.514356,4030.741932,2188.514105,-5.040610,5.014881,2.722858
31 Dec 2017 03:24:00.000,4509.464797,4595.662571,2495.240958,-5.744343,4.386919,2.381903
31 Dec 2017 03:26:00.000,3782.913654,5080.586464,2758.533125,-6.347100,3.683597,2.000030
31 Dec 2017 03:28:00.000,2990.612266,5477.212535,2973.883492,-6.838639,2.917477,1.584061
31 Dec 2017 03:30:00.000,2146.420084,5778.811867,3137.638553,-7.210757,2.102156,1.141378
31 Dec 2017 03:32:00.000,1265.051822,5980.336055,3247.057250,-7.457419,1.252003,0.679782
