"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6926.759841,105.175318,57.105538,-0.131033,6.665243,3.618932
31 Dec 2017 00:02:00.000,6851.378840,901.798683,489.636735,-1.123509,6.592708,3.579548
31 Dec 2017 00:04:00.000,6657.892980,1682.876745,913.727521,-2.096614,6.406527,3.478461
31 Dec 2017 00:06:00.000,6349.638068,2434.945317,1322.067438,-3.033573,6.109912,3.317412
31 Dec 2017 00:08:00.000,5931.928541,3145.040492,1707.617661,-3.918233,5.707978,3.099179
31 Dec 2017 00:10:00.000,5411.965761,3800.922193,2063.732368,-4.735342,5.207655,2.827526
31 Dec 2017 00:12:00.000,4798.713771,4391.285217,2384.273337,-5.470816,4.617572,2.507137
31 Dec 2017 00:14:00.000,4102.744639,4905.954137,2663.715761,-6.111977,3.947903,2.143536
31 Dec 2017 00:16:00.000,3336.056085,5336.058694,2897.243481,-6.647777,3.210194,1.742993
31 Dec 2017 00:18:00.000,2511.864537,5674.186656,3080.831986,-7.068982,2.417166,1.312414
31 Dec 2017 00:20:00.000,1644.377189,5914.511513,3211.317736,-7.368336,1.582488,0.859221
31 Dec 2017 00:22:00.000,748.547016,6052.892809,3286.452650,-7.540684,0.720551,0.391227
31 Dec 2017 00:24:00.000,-160.185047,6086.947393,3304.942780,-7.583059,-0.153788,-0.083500
31 Dec 2017 00:26:00.000,-1066.156292,6016.090357,3266.470549,-7.494737,-1.025460,-0.556779
31 Dec 2017 00:28:00.000,-1953.752203,5841.544980,3171.700142,-7.277245,-1.879441,-1.020453
31 Dec 2017 00:30:00.000,-2807.675558,5566.321505,3022.265987,-6.934336,-2.701015,-1.466531
31 Dec 2017 00:32:00.000,-3613.210012,5195.165129,2820.744517,-6.471924,-3.476023,-1.887327
31 Dec 2017 00:34:00.000,-4356.473642,4734.474107,2570.609701,-5.897983,-4.191112,-2.275588
31 Dec 2017 00:36:00.000,-5024.658077,4192.189397,2276.173127,-5.222405,-4.833962,-2.624627
31 Dec 2017 00:38:00.000,-5606.249106,3577.657746,1942.509665,-4.456836,-5.393496,-2.928430
31 Dec 2017 00:40:00.000,-6091.224972,2901.470581,1575.369990,-3.614469,-5.860076,-3.181762
31 Dec 2017 00:42:00.000,-6471.228946,2175.281486,1181.081481,-2.709821,-6.225664,-3.380259
31 Dec 2017 00:44:00.000,-6739.713215,1411.605407,766.439201,-1.758481,-6.483961,-3.520503
31 Dec 2017 00:46:00.000,-6892.051618,623.603039,338.588825,-0.776841,-6.630519,-3.600078
31 Dec 2017 00:48:00.000,-6925.619286,-175.145886,-95.096457,0.218184,-6.662813,-3.617612
31 Dec 2017 00:50:00.000,-6839.837832,-970.876522,-527.142941,1.209450,-6.580286,-3.572804
31 Dec 2017 00:52:00.000,-6636.185312,-1749.876015,-950.105156,2.179876,-6.384361,-3.466425
31 Dec 2017 00:54:00.000,-6318.170773,-2498.719714,-1356.694110,3.112742,-6.078412,-3.300309
31 Dec 2017 00:56:00.000,-5891.273848,-3204.502422,-1739.902854,3.991973,-5.667710,-3.077315
31 Dec 2017 00:58:00.000,-5362.850413,-3855.060721,-2093.127191,4.802416,-5.159329,-2.801287
31 Dec 2017 01:00:00.000,-4742.005938,-4439.182539,-2410.279461,5.530107,-4.562028,-2.476979
