"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6892.308153,95.130991,51.651914,-0.119049,6.698830,3.637168
31 Dec 2017 00:02:00.000,6817.761960,895.812635,486.386576,-1.121544,6.626373,3.597827
31 Dec 2017 00:04:00.000,6623.934720,1680.822180,912.611982,-2.104122,6.438027,3.495564
31 Dec 2017 00:06:00.000,6314.266865,2436.438550,1322.878197,-3.049369,6.137233,3.332246
31 Dec 2017 00:08:00.000,5894.248702,3149.476938,1710.026455,-3.940588,5.729473,3.110850
31 Dec 2017 00:10:00.000,5371.315009,3807.527265,2067.318630,-4.762119,5.222153,2.835398
31 Dec 2017 00:12:00.000,4754.703175,4399.176374,2388.557886,-5.499626,4.624454,2.510873
31 Dec 2017 00:14:00.000,4055.278287,4914.209568,2668.198094,-6.140356,3.947136,2.143120
31 Dec 2017 00:16:00.000,3285.329330,5343.787690,2901.439984,-6.673363,3.202325,1.738720
31 Dec 2017 00:18:00.000,2458.341165,5680.596639,3084.312323,-7.089690,2.403271,1.304870
31 Dec 2017 00:20:00.000,1588.747366,5918.967007,3213.736872,-7.382501,1.564093,0.849233
31 Dec 2017 00:22:00.000,691.669173,6054.962213,3287.576244,-7.547182,0.699507,0.379802
31 Dec 2017 00:24:00.000,-217.354088,6086.434356,3304.664224,-7.581384,-0.175437,-0.095254
31 Dec 2017 00:26:00.000,-1122.637902,6013.047651,3264.818494,-7.485034,-1.045631,-0.567731
31 Dec 2017 00:28:00.000,-2008.623769,5836.269997,3168.836059,-7.260296,-1.896165,-1.029533
31 Dec 2017 00:30:00.000,-2860.144010,5559.333820,3018.471984,-6.911504,-2.712580,-1.472811
31 Dec 2017 00:32:00.000,-3662.675913,5187.167789,2816.402316,-6.445055,-3.481102,-1.890084
31 Dec 2017 00:34:00.000,-4402.581340,4726.301414,2566.172291,-5.869269,-4.188859,-2.274365
31 Dec 2017 00:36:00.000,-5067.328450,4184.744877,2272.131083,-5.194235,-4.824077,-2.619260
31 Dec 2017 00:38:00.000,-5645.692613,3571.846624,1939.354483,-4.431619,-5.376252,-2.919066
31 Dec 2017 00:40:00.000,-6127.934088,2898.131449,1573.556989,-3.594468,-5.836304,-3.168855
31 Dec 2017 00:42:00.000,-6505.950454,2175.121888,1180.994827,-2.696986,-6.196705,-3.364536
31 Dec 2017 00:44:00.000,-6773.402183,1415.145775,768.361465,-1.754312,-6.451576,-3.502920
31 Dec 2017 00:46:00.000,-6925.810117,631.132870,342.677189,-0.782273,-6.596775,-3.581757
31 Dec 2017 00:48:00.000,-6960.623940,-163.596565,-88.825687,0.202853,-6.629943,-3.599766
31 Dec 2017 00:50:00.000,-6877.261015,-955.548349,-518.820422,1.184590,-6.550543,-3.556655
31 Dec 2017 00:52:00.000,-6677.115272,-1731.273246,-940.004677,2.146513,-6.359861,-3.453123
31 Dec 2017 00:54:00.000,-6363.536039,-2477.585262,-1345.219039,3.072499,-6.060993,-3.290851
31 Dec 2017 00:56:00.000,-5941.777021,-3181.776472,-1727.563670,3.946973,-5.658803,-3.072479
31 Dec 2017 00:58:00.000,-5418.915865,-3831.825521,-2080.511506,4.755149,-5.159856,-2.801573
31 Dec 2017 01:00:00.000,-4803.745027,-4416.596908,-2398.016464,5.483272,-4.572334,-2.482575
31 Dec 2017 01:02:00.000,-4106.635011,-4926.028135,-2674.615052,6.118834,-3.905919,-2.120741
31 Dec 2017 01:04:00.000,-3339.371343,-5351.301865,-2905.519848,6.650791,-3.171656,-1.722069
31 Dec 2017 01:06:00.000,-2514.967051,-5685.000204,-3086.703263,7.069761,-2.381795,-1.293209
31 Dec 2017 01:08:00.000,-1647.452841,-5921.238344,-3214.970108,7.368193,-1.549605,-0.841367
31 Dec 2017 01:10:00.000,-751.647594,-6055.774889,-3288.017491,7.540524,-0.689172,-0.374190
31 Dec 2017 01:12:00.000,157.087722,-6086.096403,-3304.480730,7.583300,0.184829,0.100354
31 Dec 2017 01:14:00.000,1063.109137,-6011.473963,-3263.964051,7.495271,1.057374,0.574107
31 Dec 2017 01:16:00.000,1950.757746,-5832.989849,-3167.055084,7.277444,1.913344,1.038861
31 Dec 2017 01:18:00.000,2804.632262,-5553.532961,-3015.322374,6.933106,2.737791,1.486499
31 Dec 2017 01:20:00.000,3609.861248,-5177.762051,-2811.295417,6.467793,3.516211,1.909147
31 Dec 2017 01:22:00.000,4352.369887,-4712.036494,-2558.427071,5.889231,4.234810,2.299314
31 Dec 2017 01:24:00.000,5019.136005,-4164.314992,-2261.038560,5.207216,4.880768,2.650041
31 Dec 2017 01:26:00.000,5598.430021,-3544.023354,-1924.247680,4.433465,5.442494,2.955033
31 Dec 2017 01:28:00.000,6080.033605,-2861.893233,-1553.881243,3.581413,5.909853,3.208789
31 Dec 2017 01:30:00.000,6455.432120,-2129.774505,-1156.373207,2.665976,6.274375,3.406708
31 Dec 2017 01:32:00.000,6717.976370,-1360.424674,-738.650331,1.703281,6.529428,3.545190
31 Dec 2017 01:34:00.000,6863.009775,-567.279364,-308.007565,0.710360,6.670361,3.621711
31 Dec 2017 01:36:00.000,6887.957896,235.791464,128.024319,-0.295174,6.694601,3.634872
31 Dec 2017 01:38:00.000,6792.378074,1034.736521,561.816091,-1.295461,6.601704,3.584433
31 Dec 2017 01:40:00.000,6577.967954,1815.580040,985.779530,-2.272746,6.393369,3.471316
31 Dec 2017 01:42:00.000,6248.532676,2564.677029,1392.506010,-3.209716,6.073401,3.297588
31 Dec 2017 01:44:00.000,5809.911562,3268.961462,1774.901257,-4.089835,5.647627,3.066411
31 Dec 2017 01:46:00.000,5269.866127,3916.182239,2126.313467,-4.897653,5.123779,2.781985
31 Dec 2017 01:48:00.000,4637.932155,4495.122064,2440.652145,-5.619093,4.511325,2.449450
31 Dec 2017 01:50:00.000,3925.239417,4995.794960,2712.495347,-6.241705,3.821283,2.074788
