"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Dec 2017 00:00:00.000,6892.108388,105.719505,57.401008,-0.132375,6.698637,3.637063
31 Dec 2017 00:02:00.000,6815.969603,906.285400,492.072824,-1.134724,6.624640,3.596886
31 Dec 2017 00:04:00.000,6620.581129,1690.995969,918.135899,-2.116925,6.434785,3.493803
31 Dec 2017 00:06:00.000,6309.410687,2446.135442,1328.143180,-3.061572,6.132539,3.329697
31 Dec 2017 00:08:00.000,5887.974802,3158.527468,1714.940491,-3.951979,5.723410,3.107558
31 Dec 2017 00:10:00.000,5363.732929,3815.773408,2071.795920,-4.772500,5.214829,2.831421
31 Dec 2017 00:12:00.000,4745.945144,4406.474315,2392.520345,-5.508816,4.615998,2.506282
31 Dec 2017 00:14:00.000,4045.496838,4920.432202,2671.576709,-6.148198,3.937696,2.137995
31 Dec 2017 00:16:00.000,3274.694558,5348.826803,2904.175999,-6.679723,3.192068,1.733151
31 Dec 2017 00:18:00.000,2447.037695,5684.364747,3086.358238,-7.094459,2.392376,1.298954
31 Dec 2017 00:20:00.000,1576.971075,5921.398808,3215.057232,-7.385601,1.552749,0.843074
31 Dec 2017 00:22:00.000,679.623747,6056.015642,3288.148210,-7.548562,0.687912,0.373506
31 Dec 2017 00:24:00.000,-229.460716,6086.091227,3304.477920,-7.581023,-0.187084,-0.101578
31 Dec 2017 00:26:00.000,-1134.597156,6011.313869,3263.877128,-7.482942,-1.057128,-0.573974
31 Dec 2017 00:28:00.000,-2020.230016,5833.175371,3167.155815,-7.256513,-1.907315,-1.035588
31 Dec 2017 00:30:00.000,-2871.198073,5554.931455,3016.081695,-6.906098,-2.723193,-1.478573
31 Dec 2017 00:32:00.000,-3672.988440,5181.533091,2813.342925,-6.438120,-3.490998,-1.895457
31 Dec 2017 00:34:00.000,-4411.975991,4719.530732,2562.496111,-5.860928,-4.197869,-2.279257
31 Dec 2017 00:36:00.000,-5075.644835,4176.953799,2267.900872,-5.184631,-4.832049,-2.623589
31 Dec 2017 00:38:00.000,-5652.788956,3563.167966,1934.642356,-4.420918,-5.383052,-2.922759
31 Dec 2017 00:40:00.000,-6133.689565,2888.712974,1568.443174,-3.582853,-5.841817,-3.171848
31 Dec 2017 00:42:00.000,-6510.267171,2165.123789,1175.566302,-2.684656,-6.200839,-3.366781
31 Dec 2017 00:44:00.000,-6776.206779,1404.737964,762.710484,-1.741476,-6.454262,-3.504378
31 Dec 2017 00:46:00.000,-6927.054957,620.492120,336.899733,-0.769150,-6.597967,-3.582404
31 Dec 2017 00:48:00.000,-6960.287885,-174.289584,-94.631523,0.216041,-6.629622,-3.599591
31 Dec 2017 00:50:00.000,-6875.349773,-966.112091,-524.556066,1.197618,-6.548713,-3.555661
31 Dec 2017 00:52:00.000,-6673.661297,-1741.528329,-945.572732,2.159161,-6.356554,-3.451327
31 Dec 2017 00:54:00.000,-6358.598009,-2487.357468,-1350.524914,3.084551,-6.056264,-3.288283
31 Dec 2017 00:56:00.000,-5935.438886,-3190.899672,-1732.517164,3.958223,-5.652731,-3.069182
31 Dec 2017 00:58:00.000,-5411.285474,-3840.144480,-2085.028332,4.765406,-5.152543,-2.797603
31 Dec 2017 01:00:00.000,-4794.952366,-4423.969911,-2402.019678,5.492359,-4.563903,-2.477997
31 Dec 2017 01:02:00.000,-4096.830067,-4932.329418,-2678.036370,6.126594,-3.896513,-2.115634
31 Dec 2017 01:04:00.000,-3328.721624,-5356.423779,-2908.300820,6.657090,-3.161433,-1.716518
31 Dec 2017 01:06:00.000,-2503.654799,-5688.855105,-3088.796303,7.074488,-2.370930,-1.287310
31 Dec 2017 01:08:00.000,-1635.671986,-5923.760149,-3216.339336,7.371264,-1.538283,-0.835220
31 Dec 2017 01:10:00.000,-739.600479,-6056.920287,-3288.639392,7.541883,-0.677587,-0.367899
