"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,1817.306850,5.574885,3.026915,-0.005212,1.587800,0.862105
1 Jan 2018 00:02:00.000,1806.011757,195.703844,106.257143,-0.182730,1.577935,0.856719
1 Jan 2018 00:04:00.000,1773.589663,383.548447,208.241460,-0.356791,1.549818,0.841393
1 Jan 2018 00:06:00.000,1720.648262,566.964798,307.814175,-0.524215,1.504338,0.816641
1 Jan 2018 00:08:00.000,1648.155419,743.952129,403.889494,-0.682217,1.442939,0.783250
1 Jan 2018 00:10:00.000,1557.387413,912.706533,495.488478,-0.828459,1.367458,0.742219
1 Jan 2018 00:12:00.000,1449.866827,1071.662530,581.761816,-0.961177,1.279994,0.694686
1 Jan 2018 00:14:00.000,1327.295268,1219.515103,662.001511,-1.079155,1.182777,0.641862
1 Jan 2018 00:16:00.000,1191.487231,1355.227983,735.645528,-1.181710,1.078035,0.584958
1 Jan 2018 00:18:00.000,1044.310055,1478.029647,802.275646,-1.268650,0.967939,0.525154
1 Jan 2018 00:20:00.000,887.625969,1587.398452,861.609510,-1.340230,0.854462,0.463522
1 Jan 2018 00:22:00.000,723.247317,1683.034830,913.485514,-1.397005,0.739334,0.401002
1 Jan 2018 00:24:00.000,552.906562,1764.832857,957.846889,-1.439741,0.624052,0.338402
1 Jan 2018 00:26:00.000,378.234530,1832.851891,994.726331,-1.469355,0.509875,0.276406
1 Jan 2018 00:28:00.000,200.746208,1887.288449,1024.230832,-1.486851,0.397831,0.215569
1 Jan 2018 00:30:00.000,21.833463,1928.449536,1046.527183,-1.493269,0.288737,0.156335
1 Jan 2018 00:32:00.000,-157.236459,1956.728572,1061.828979,-1.489640,0.183221,0.099043
1 Jan 2018 00:34:00.000,-335.318377,1972.584551,1070.385426,-1.476964,0.081752,0.043948
1 Jan 2018 00:36:00.000,-511.383888,1976.524358,1072.471808,-1.456186,-0.015336,-0.008767
1 Jan 2018 00:38:00.000,-684.514260,1969.088085,1068.381527,-1.428186,-0.107820,-0.058980
1 Jan 2018 00:40:00.000,-853.892290,1950.837108,1058.419608,-1.393776,-0.195565,-0.106619
1 Jan 2018 00:42:00.000,-1018.793749,1922.344576,1042.897503,-1.353694,-0.278507,-0.151647
1 Jan 2018 00:44:00.000,-1178.578814,1884.187925,1022.129012,-1.308608,-0.356636,-0.194060
1 Jan 2018 00:46:00.000,-1332.683723,1836.943129,996.427152,-1.259119,-0.429985,-0.233874
1 Jan 2018 00:48:00.000,-1480.612874,1781.180405,966.101818,-1.205763,-0.498614,-0.271124
1 Jan 2018 00:50:00.000,-1621.931464,1717.461114,931.458094,-1.149018,-0.562609,-0.305856
1 Jan 2018 00:52:00.000,-1756.258742,1646.335643,892.795096,-1.089308,-0.622068,-0.338122
1 Jan 2018 00:54:00.000,-1883.261891,1568.342062,850.405235,-1.027008,-0.677096,-0.367980
1 Jan 2018 00:56:00.000,-2002.650536,1484.005399,804.573817,-0.962452,-0.727804,-0.395491
1 Jan 2018 00:58:00.000,-2114.171857,1393.837393,755.578915,-0.895932,-0.774303,-0.420715
1 Jan 2018 01:00:00.000,-2217.606253,1298.336629,703.691431,-0.827711,-0.816701,-0.443710
1 Jan 2018 01:02:00.000,-2312.763543,1197.988945,649.175332,-0.758017,-0.855102,-0.464534
1 Jan 2018 01:04:00.000,-2399.479631,1093.268064,592.287989,-0.687056,-0.889604,-0.483239
1 Jan 2018 01:06:00.000,-2477.613620,984.636382,533.280613,-0.615011,-0.920297,-0.499876
1 Jan 2018 01:08:00.000,-2547.045308,872.545880,472.398747,-0.542043,-0.947264,-0.514488
1 Jan 2018 01:10:00.000,-2607.673045,757.439113,409.882812,-0.468301,-0.970579,-0.527117
1 Jan 2018 01:12:00.000,-2659.411915,639.750269,345.968678,-0.393917,-0.990309,-0.537797
1 Jan 2018 01:14:00.000,-2702.192199,519.906271,280.888264,-0.319011,-1.006507,-0.546559
1 Jan 2018 01:16:00.000,-2735.958123,398.327907,214.870151,-0.243695,-1.019222,-0.553429
1 Jan 2018 01:18:00.000,-2760.666840,275.430983,148.140210,-0.168074,-1.028488,-0.558426
1 Jan 2018 01:20:00.000,-2776.287648,151.627494,80.922231,-0.092246,-1.034335,-0.561565
1 Jan 2018 01:22:00.000,-2782.801427,27.326802,13.438568,-0.016306,-1.036777,-0.562855
1 Jan 2018 01:24:00.000,-2780.200288,-97.063182,-54.089223,0.059654,-1.035823,-0.562301
1 Jan 2018 01:26:00.000,-2768.487419,-221.134805,-121.439737,0.135541,-1.031470,-0.559900
