"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,1840.320000,0.000000,0.000000,-0.000000,1.571320,0.853157
1 Jan 2018 00:02:00.000,1829.912778,188.202967,102.185873,-0.173192,1.562444,0.848338
1 Jan 2018 00:04:00.000,1798.878333,374.286869,203.221189,-0.343278,1.536094,0.834031
1 Jan 2018 00:06:00.000,1747.768474,556.198528,301.991161,-0.507314,1.493084,0.810678
1 Jan 2018 00:08:00.000,1677.471147,732.011211,397.449659,-0.662662,1.434693,0.778975
1 Jan 2018 00:10:00.000,1589.166625,899.975359,488.646751,-0.807102,1.362575,0.739818
1 Jan 2018 00:12:00.000,1484.272980,1058.556419,574.749241,-0.938900,1.278641,0.694246
1 Jan 2018 00:14:00.000,1364.386092,1206.458458,655.053496,-1.056827,1.184938,0.643369
1 Jan 2018 00:16:00.000,1231.219239,1342.633868,728.990711,-1.160149,1.083540,0.588314
1 Jan 2018 00:18:00.000,1086.546464,1466.280813,796.125524,-1.248579,0.976456,0.530172
1 Jan 2018 00:20:00.000,932.152696,1576.830850,856.149297,-1.322210,0.865556,0.469959
1 Jan 2018 00:22:00.000,769.792359,1673.929528,908.869578,-1.381443,0.752531,0.408591
1 Jan 2018 00:24:00.000,601.157016,1757.412642,954.197211,-1.426914,0.638859,0.346872
1 Jan 2018 00:26:00.000,427.851772,1827.280497,992.132361,-1.459418,0.525802,0.285487
1 Jan 2018 00:28:00.000,251.379544,1883.672036,1022.750468,-1.479853,0.414411,0.225007
1 Jan 2018 00:30:00.000,73.131989,1926.840165,1046.188850,-1.489167,0.305538,0.165894
1 Jan 2018 00:32:00.000,-105.614187,1957.129139,1062.634421,-1.488322,0.199857,0.108514
1 Jan 2018 00:34:00.000,-283.696821,1974.954489,1072.312797,-1.478263,0.097886,0.053148
1 Jan 2018 00:36:00.000,-460.064876,1980.785648,1075.478857,-1.459893,0.000008,0.000004
1 Jan 2018 00:38:00.000,-633.772989,1975.131259,1072.408775,-1.434068,-0.093503,-0.050768
1 Jan 2018 00:40:00.000,-803.974722,1958.526998,1063.393396,-1.401580,-0.182466,-0.099071
1 Jan 2018 00:42:00.000,-969.915132,1931.525653,1048.732862,-1.363162,-0.266775,-0.144847
1 Jan 2018 00:44:00.000,-1130.923075,1894.689206,1028.732303,-1.319478,-0.346381,-0.188069
