"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,1840.320000,0.000000,0.000000,0.000000,1.571320,0.853157
1 Jan 2018 00:02:00.000,1829.912282,188.201891,102.183941,-0.173193,1.562437,0.848306
1 Jan 2018 00:04:00.000,1798.877794,374.286613,203.213374,-0.343280,1.536115,0.833962
1 Jan 2018 00:06:00.000,1747.767766,556.202385,301.972717,-0.507315,1.493135,0.810572
1 Jan 2018 00:08:00.000,1677.469472,732.023497,397.416683,-0.662679,1.434780,0.778838
1 Jan 2018 00:10:00.000,1589.161563,899.999949,488.595540,-0.807144,1.362693,0.739651
1 Jan 2018 00:12:00.000,1484.260762,1058.596445,574.676270,-0.938980,1.278779,0.694049
1 Jan 2018 00:14:00.000,1364.361401,1206.515182,654.954696,-1.056955,1.185075,0.643133
1 Jan 2018 00:16:00.000,1231.176951,1342.705591,728.860830,-1.160309,1.083651,0.588032
1 Jan 2018 00:18:00.000,1086.484681,1466.364283,795.959212,-1.248740,0.976542,0.529850
1 Jan 2018 00:20:00.000,932.071952,1576.923960,855.942490,-1.322364,0.865631,0.469608
1 Jan 2018 00:22:00.000,769.693418,1674.031289,908.619550,-1.381594,0.752600,0.408222
1 Jan 2018 00:24:00.000,601.039964,1757.522173,953.902173,-1.427066,0.638918,0.346491
1 Jan 2018 00:26:00.000,427.716219,1827.396356,991.790889,-1.459574,0.525847,0.285095
1 Jan 2018 00:28:00.000,251.225098,1883.792276,1022.361175,-1.480011,0.414439,0.224602
1 Jan 2018 00:30:00.000,72.958426,1926.962518,1045.750244,-1.489327,0.305546,0.165476
1 Jan 2018 00:32:00.000,-105.806809,1957.251064,1062.144845,-1.488480,0.199843,0.108082
1 Jan 2018 00:34:00.000,-283.908008,1975.073218,1071.770443,-1.478414,0.097847,0.052700
1 Jan 2018 00:36:00.000,-460.293596,1980.898249,1074.881868,-1.460033,-0.000055,-0.000458
1 Jan 2018 00:38:00.000,-634.017606,1975.234690,1071.755359,-1.434192,-0.093592,-0.051245
1 Jan 2018 00:40:00.000,-804.232950,1958.618187,1062.681958,-1.401683,-0.182581,-0.099560
1 Jan 2018 00:42:00.000,-970.184041,1931.601623,1047.962113,-1.363237,-0.266914,-0.145346
1 Jan 2018 00:44:00.000,-1131.199168,1894.747200,1027.901351,-1.319522,-0.346541,-0.188573
1 Jan 2018 00:46:00.000,-1286.682914,1848.620186,1002.806877,-1.271143,-0.421459,-0.229242
1 Jan 2018 00:48:00.000,-1436.108813,1793.784107,972.984955,-1.218644,-0.491700,-0.267368
1 Jan 2018 00:50:00.000,-1579.012406,1730.797154,938.738952,-1.162515,-0.557318,-0.302983
1 Jan 2018 00:52:00.000,-1714.984783,1660.209591,900.367927,-1.103193,-0.618390,-0.336126
1 Jan 2018 00:54:00.000,-1843.666663,1582.561987,858.165661,-1.041068,-0.675001,-0.366845
1 Jan 2018 00:56:00.000,-1964.743017,1498.384103,812.420047,-0.976489,-0.727244,-0.395191
1 Jan 2018 00:58:00.000,-2077.938236,1408.194306,763.412768,-0.909765,-0.775215,-0.421215
1 Jan 2018 01:00:00.000,-2183.011819,1312.499402,711.419209,-0.841172,-0.819012,-0.444971
1 Jan 2018 01:02:00.000,-2279.754554,1211.794790,656.708541,-0.770956,-0.858726,-0.466508
1 Jan 2018 01:04:00.000,-2367.985159,1106.564865,599.543944,-0.699337,-0.894448,-0.485877
1 Jan 2018 01:06:00.000,-2447.547348,997.283620,540.182935,-0.626513,-0.926261,-0.503123
1 Jan 2018 01:08:00.000,-2518.307275,884.415384,478.877777,-0.552661,-0.954243,-0.518286
1 Jan 2018 01:10:00.000,-2580.151340,768.415678,415.875941,-0.477941,-0.978463,-0.531407
1 Jan 2018 01:12:00.000,-2632.984314,649.732153,351.420618,-0.402500,-0.998983,-0.542516
1 Jan 2018 01:14:00.000,-2676.727756,528.805580,285.751258,-0.326470,-1.015856,-0.551645
1 Jan 2018 01:16:00.000,-2711.318711,406.070897,219.104137,-0.249978,-1.029125,-0.558816
1 Jan 2018 01:18:00.000,-2736.708647,281.958281,151.712938,-0.173139,-1.038826,-0.564049
1 Jan 2018 01:20:00.000,-2752.862646,156.894250,83.809348,-0.096064,-1.044985,-0.567358
1 Jan 2018 01:22:00.000,-2759.758806,31.302777,15.623663,-0.018859,-1.047619,-0.568752
1 Jan 2018 01:24:00.000,-2757.387871,-94.393584,-52.614603,0.058370,-1.046734,-0.568234
1 Jan 2018 01:26:00.000,-2745.753067,-219.772557,-120.676098,0.135521,-1.042328,-0.565805
1 Jan 2018 01:28:00.000,-2724.870157,-344.411014,-188.331018,0.212488,-1.034389,-0.561457
1 Jan 2018 01:30:00.000,-2694.767699,-467.883840,-255.348492,0.289162,-1.022897,-0.555178
1 Jan 2018 01:32:00.000,-2655.487530,-589.762800,-321.495968,0.365430,-1.007819,-0.546953
1 Jan 2018 01:34:00.000,-2607.085466,-709.615434,-386.538609,0.441173,-0.989117,-0.536760
1 Jan 2018 01:36:00.000,-2549.632244,-827.003961,-450.238696,0.516261,-0.966742,-0.524573
1 Jan 2018 01:38:00.000,-2483.214702,-941.484211,-512.355053,0.590554,-0.940635,-0.510359
1 Jan 2018 01:40:00.000,-2407.937233,-1052.604608,-572.642489,0.663899,-0.910732,-0.494084
1 Jan 2018 01:42:00.000,-2323.923517,-1159.905193,-630.851269,0.736128,-0.876959,-0.475708
1 Jan 2018 01:44:00.000,-2231.318565,-1262.916731,-686.726628,0.807054,-0.839234,-0.455187
1 Jan 2018 01:46:00.000,-2130.291104,-1361.159913,-740.008337,0.876467,-0.797471,-0.432472
1 Jan 2018 01:48:00.000,-2021.036323,-1454.144681,-790.430341,0.944135,-0.751578,-0.407516
1 Jan 2018 01:50:00.000,-1903.779032,-1541.369736,-837.720491,1.009796,-0.701460,-0.380266
1 Jan 2018 01:52:00.000,-1778.777247,-1622.322258,-881.600393,1.073158,-0.647020,-0.350670
1 Jan 2018 01:54:00.000,-1646.326255,-1696.477914,-921.785422,1.133891,-0.588164,-0.318677
1 Jan 2018 01:56:00.000,-1506.763179,-1763.301244,-957.984928,1.191627,-0.524800,-0.284237
1 Jan 2018 01:58:00.000,-1360.472075,-1822.246506,-989.902708,1.245952,-0.456850,-0.247308
1 Jan 2018 02:00:00.000,-1207.889564,-1872.759120,-1017.237795,1.296403,-0.384247,-0.207854
