"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,9040.320000,0.000000,0.000000,-0.000000,0.708956,0.384932
1 Jan 2018 00:02:00.000,9039.887514,85.073477,46.191067,-0.007208,0.708924,0.384913
1 Jan 2018 00:04:00.000,9038.590124,170.139032,92.377695,-0.014415,0.708824,0.384858
1 Jan 2018 00:06:00.000,9036.428029,255.188554,138.555464,-0.021620,0.708657,0.384766
1 Jan 2018 00:08:00.000,9033.401562,340.213940,184.719954,-0.028821,0.708422,0.384636
1 Jan 2018 00:10:00.000,9029.511184,425.207093,230.866751,-0.036018,0.708119,0.384471
1 Jan 2018 00:12:00.000,9024.757490,510.159923,276.991445,-0.043209,0.707750,0.384268
1 Jan 2018 00:14:00.000,9019.141208,595.064352,323.089632,-0.050394,0.707313,0.384029
1 Jan 2018 00:16:00.000,9012.663192,679.912315,369.156913,-0.057571,0.706809,0.383753
1 Jan 2018 00:18:00.000,9005.324431,764.695760,415.188901,-0.064740,0.706238,0.383441
1 Jan 2018 00:20:00.000,8997.126042,849.406656,461.181214,-0.071898,0.705600,0.383092
1 Jan 2018 00:22:00.000,8988.069271,934.036986,507.129486,-0.079046,0.704895,0.382707
1 Jan 2018 00:24:00.000,8978.155495,1018.578760,553.029356,-0.086182,0.704124,0.382285
1 Jan 2018 00:26:00.000,8967.386217,1103.024006,598.876482,-0.093304,0.703286,0.381828
1 Jan 2018 00:28:00.000,8955.763069,1187.364783,644.666532,-0.100413,0.702382,0.381334
1 Jan 2018 00:30:00.000,8943.287811,1271.593172,690.395190,-0.107506,0.701413,0.380804
1 Jan 2018 00:32:00.000,8929.962328,1355.701288,736.058157,-0.114583,0.700378,0.380239
1 Jan 2018 00:34:00.000,8915.788630,1439.681274,781.651150,-0.121643,0.699278,0.379638
1 Jan 2018 00:36:00.000,8900.768852,1523.525311,827.169904,-0.128684,0.698112,0.379002
1 Jan 2018 00:38:00.000,8884.905253,1607.225610,872.610177,-0.135706,0.696882,0.378330
1 Jan 2018 00:40:00.000,8868.200215,1690.774424,917.967742,-0.142708,0.695587,0.377623
1 Jan 2018 00:42:00.000,8850.656240,1774.164043,963.238397,-0.149688,0.694229,0.376882
1 Jan 2018 00:44:00.000,8832.275951,1857.386799,1008.417962,-0.156646,0.692806,0.376105
1 Jan 2018 00:46:00.000,8813.062092,1940.435067,1053.502279,-0.163581,0.691321,0.375294
1 Jan 2018 00:48:00.000,8793.017522,2023.301267,1098.487217,-0.170491,0.689772,0.374449
