"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
1 Jan 2018 00:00:00.000,4240.320000,0.000000,0.000000,-0.000000,1.035171,0.562052
1 Jan 2018 00:02:00.000,4238.356682,124.201369,67.435797,-0.032718,1.034693,0.561791
1 Jan 2018 00:04:00.000,4232.469633,248.287928,134.809143,-0.065387,1.033258,0.561011
1 Jan 2018 00:06:00.000,4222.667557,372.145049,202.057768,-0.097960,1.030869,0.559713
1 Jan 2018 00:08:00.000,4208.964921,495.658700,269.119720,-0.130389,1.027534,0.557901
1 Jan 2018 00:10:00.000,4191.381889,618.715730,335.933531,-0.162626,1.023261,0.555578
1 Jan 2018 00:12:00.000,4169.944237,741.204159,402.438365,-0.194625,1.018060,0.552752
1 Jan 2018 00:14:00.000,4144.683243,863.013450,468.574173,-0.226341,1.011944,0.549429
1 Jan 2018 00:16:00.000,4115.635548,984.034782,534.281838,-0.257729,1.004930,0.545618
1 Jan 2018 00:18:00.000,4082.843008,1104.161304,599.503312,-0.288748,0.997034,0.541328
1 Jan 2018 00:20:00.000,4046.352518,1223.288377,664.181749,-0.319355,0.988276,0.536569
1 Jan 2018 00:22:00.000,4006.215816,1341.313808,728.261635,-0.349512,0.978677,0.531354
1 Jan 2018 00:24:00.000,3962.489278,1458.138062,791.688894,-0.379180,0.968260,0.525694
1 Jan 2018 00:26:00.000,3915.233691,1573.664457,854.411007,-0.408323,0.957050,0.519604
1 Jan 2018 00:28:00.000,3864.514021,1687.799350,916.377102,-0.436909,0.945073,0.513096
1 Jan 2018 00:30:00.000,3810.399163,1800.452298,977.538046,-0.464905,0.932355,0.506187
1 Jan 2018 00:32:00.000,3752.961685,1911.536202,1037.846522,-0.492281,0.918927,0.498891
1 Jan 2018 00:34:00.000,3692.277566,2020.967433,1097.257102,-0.519011,0.904816,0.491225
1 Jan 2018 00:36:00.000,3628.425931,2128.665945,1155.726300,-0.545069,0.890053,0.483204
1 Jan 2018 00:38:00.000,3561.488776,2234.555359,1213.212625,-0.570433,0.874669,0.474846
1 Jan 2018 00:40:00.000,3491.550699,2338.563039,1269.676618,-0.595081,0.858696,0.466168
1 Jan 2018 00:42:00.000,3418.698630,2440.620144,1325.080883,-0.618996,0.842165,0.457187
1 Jan 2018 00:44:00.000,3343.021560,2540.661665,1379.390105,-0.642162,0.825109,0.447920
1 Jan 2018 00:46:00.000,3264.610276,2638.626447,1432.571063,-0.664564,0.807558,0.438386
1 Jan 2018 00:48:00.000,3183.557103,2734.457193,1484.592632,-0.686192,0.789547,0.428600
1 Jan 2018 00:50:00.000,3099.955649,2828.100455,1535.425778,-0.707034,0.771106,0.418581
1 Jan 2018 00:52:00.000,3013.900558,2919.506608,1585.043543,-0.727085,0.752267,0.408347
1 Jan 2018 00:54:00.000,2925.487273,3008.629817,1633.421030,-0.746337,0.733062,0.397913
1 Jan 2018 00:56:00.000,2834.811810,3095.427984,1680.535370,-0.764787,0.713521,0.387297
1 Jan 2018 00:58:00.000,2741.970536,3179.862691,1726.365695,-0.782433,0.693676,0.376515
1 Jan 2018 01:00:00.000,2647.059960,3261.899131,1770.893097,-0.799275,0.673555,0.365584
1 Jan 2018 01:02:00.000,2550.176543,3341.506029,1814.100588,-0.815314,0.653188,0.354520
1 Jan 2018 01:04:00.000,2451.416505,3418.655555,1855.973050,-0.830553,0.632603,0.343336
1 Jan 2018 01:06:00.000,2350.875654,3493.323233,1896.497190,-0.844995,0.611828,0.332050
1 Jan 2018 01:08:00.000,2248.649225,3565.487839,1935.661480,-0.858647,0.590890,0.320675
1 Jan 2018 01:10:00.000,2144.831728,3635.131303,1973.456104,-0.871514,0.569814,0.309224
1 Jan 2018 01:12:00.000,2039.516808,3702.238597,2009.872900,-0.883605,0.548624,0.297713
1 Jan 2018 01:14:00.000,1932.797117,3766.797624,2044.905299,-0.894929,0.527346,0.286153
1 Jan 2018 01:16:00.000,1824.764199,3828.799109,2078.548264,-0.905494,0.506003,0.274558
